Map,Call Time,Dispatch Time,Incident Desc,Disposition,Event Number,Location,Priority,Case,Date
,03/24/2024 08:09:55 PM,03/24/2024 08:09:56 PM,Traffic Stop,WARNING,24078213,"W 5TH AVE/ADAMS ST, EUG",6,,03/24/2024
,03/24/2024 08:07:51 PM,03/24/2024 08:12:30 PM,Illegal Burning,INFORMATION ONLY,24078212,"525 HWY 99N, EUG",4,,03/24/2024
,03/24/2024 07:42:41 PM,03/24/2024 07:45:17 PM,Illegal Burning,INFORMATION ONLY,24078203,"W 11TH AVE/OAK PATCH RD, EUG",5,,03/24/2024
,03/24/2024 07:42:40 PM,03/24/2024 08:42:59 PM,Dispute,WELFARE CHECK DONE,24078202,"2872 WINGATE ST, EUG",3,,03/24/2024
,03/24/2024 07:13:00 PM,03/24/2024 07:13:00 PM,Disabled Vehicle(s),ASSISTED,24078178,"I105 EB/COUNTRY CLUB RD, EUG",P,,03/24/2024
,03/24/2024 06:32:03 PM,03/24/2024 06:38:42 PM,Reckless Driving,GONE ON ARRIVAL,24078158,"HWY 99N/ROOSEVELT BLVD, EUG",3,,03/24/2024
,03/24/2024 06:28:57 PM,03/24/2024 06:59:14 PM,Prowler(s),GONE ON ARRIVAL,24078157,"2133 CENTENNIAL PLAZA, EUG",3,,03/24/2024
,03/24/2024 06:22:24 PM,03/24/2024 07:18:08 PM,Prowler(s),UNABLE TO LOCATE,24078152,"3845 DONALD ST, EUG",3,,03/24/2024
,03/24/2024 06:07:32 PM,03/24/2024 06:13:19 PM,Traffic Stop,ARREST,24078143,"S 54TH ST/MAIN ST, SPR",6,,03/24/2024
,03/24/2024 05:58:00 PM,03/24/2024 06:23:13 PM,Disorderly Subject,UNABLE TO LOCATE,24078131,"95 N MADISON ST, EUG",3,,03/24/2024
,03/24/2024 05:57:55 PM,03/24/2024 06:24:14 PM,Dispute,REPORT TAKEN,24078130,"1333 OAK PATCH RD, EUG",3,2404309,03/24/2024
,03/24/2024 05:54:58 PM,03/24/2024 05:56:23 PM,Assault 4,REPORT TAKEN,24078124,"111 MONROE ST, EUG",4,2404308,03/24/2024
,03/24/2024 05:42:04 PM,03/24/2024 06:38:25 PM,Criminal Trespass,RESOLVED,24078113,"3510 W 11TH AVE, EUG",3,,03/24/2024
,03/24/2024 05:13:10 PM,03/24/2024 05:21:09 PM,Theft of Services,FIELD INVESTIGATION,24078094,"710 WILLAMETTE ST, EUG",3,,03/24/2024
,03/24/2024 04:55:03 PM,03/24/2024 05:01:30 PM,ATL Drunk Driver,UNABLE TO LOCATE,24078082,"190 DELTA NB HWY, EUG",3,,03/24/2024
,03/24/2024 04:51:01 PM,03/24/2024 05:00:18 PM,Dispute,WELFARE CHECK DONE,24078080,"1689 WILSON CT, EUG",3,,03/24/2024
,03/24/2024 04:42:58 PM,03/24/2024 05:36:50 PM,Dispute,PATROL CHECK,24078076,"265 W 8TH AVE, EUG",3,,03/24/2024
,03/24/2024 04:41:38 PM,03/24/2024 04:41:38 PM,Traffic Stop,WARNING,24078075,"W 12TH AVE/JEFFERSON ST, EUG",6,,03/24/2024
,03/24/2024 04:12:30 PM,03/24/2024 07:32:53 PM,Theft,GONE ON ARRIVAL,24078057,"4575 W 11TH AVE, EUG",4,,03/24/2024
,03/24/2024 03:50:32 PM,03/24/2024 04:44:43 PM,Found Property,REPORT TAKEN,24078048,"2115 W 12TH AVE, EUG",5,2404306,03/24/2024
,03/24/2024 03:49:41 PM,03/24/2024 06:28:42 PM,Criminal Trespass,GONE ON ARRIVAL,24078046,"3450 W 11TH AVE, EUG",3,,03/24/2024
,03/24/2024 03:45:10 PM,03/24/2024 03:47:41 PM,Disorderly Subject,WELFARE CHECK DONE,24078044,"3218 WILLAKENZIE RD, EUG",3,,03/24/2024
,03/24/2024 03:29:50 PM,03/24/2024 04:19:07 PM,Dispute,GONE ON ARRIVAL,24078034,"KINSROW AVE/MARTIN LUTHER KING JR BLVD, EUG",3,,03/24/2024
,03/24/2024 03:22:55 PM,,Theft from Vehicle,REPORT TAKEN,24078029,"943 E 27TH AVE, EUG",P,2404302,03/24/2024
,03/24/2024 03:08:38 PM,03/24/2024 04:29:36 PM,Dispute,FIELD INVESTIGATION,24078018,"4175 WAGNER ST, EUG",3,,03/24/2024
,03/24/2024 02:53:26 PM,,Unauthorized Use of Vehicle,REPORT TAKEN,24078012,"3060 RIVER RD, EUG",P,2404300,03/24/2024
,03/24/2024 02:47:08 PM,03/24/2024 03:18:59 PM,Dispute,GONE ON ARRIVAL,24078007,"RIVER RD/DIVISION AVE, EUG",3,,03/24/2024
,03/24/2024 02:39:03 PM,03/24/2024 04:52:00 PM,Suspicious Condition(s),INFORMATION ONLY,24078004,"1240 COBURG RD, EUG",4,,03/24/2024
,03/24/2024 02:12:06 PM,,Theft,REPORT TAKEN,24077994,"705 SENECA RD, EUG",P,2404299,03/24/2024
,03/24/2024 02:02:13 PM,03/24/2024 02:10:12 PM,Menacing,REPORT TAKEN,24077987,"1967 RIVER RD, EUG",3,2404301,03/24/2024
,03/24/2024 01:48:49 PM,03/24/2024 02:06:11 PM,Dispute,INFORMATION ONLY,24077976,"162 SANTA CLARA AVE, EUG",3,,03/24/2024
,03/24/2024 01:46:42 PM,,Theft,REPORT TAKEN,24077975,"311 COBURG RD, EUG",P,2404298,03/24/2024
,03/24/2024 01:45:47 PM,03/24/2024 01:45:48 PM,Traffic Stop,WARNING,24077973,"W 7TH PL/GARFIELD ST, EUG",6,,03/24/2024
,03/24/2024 01:36:00 PM,,Theft by Deception,REPORT TAKEN,24080398,"2555 ADAMS ST, EUG",P,2404426,03/24/2024
,03/24/2024 01:35:50 PM,03/24/2024 01:35:50 PM,Traffic Stop,FOLLOW UP INVESTIGATION,24077967,"RAILROAD BLVD/RIVER RD, EUG",6,,03/24/2024
,03/24/2024 01:35:45 PM,03/24/2024 02:05:03 PM,Dispute,GONE ON ARRIVAL,24077966,"367 W 13TH AVE, EUG",3,,03/24/2024
,03/24/2024 01:35:24 PM,03/24/2024 04:34:04 PM,Criminal Trespass,GONE ON ARRIVAL,24077965,"149 W 12TH AVE, EUG",3,,03/24/2024
,03/24/2024 01:32:26 PM,03/24/2024 01:58:16 PM,Traffic Hazard,RESOLVED,24077964,"W 10TH AVE/CHARNELTON ST, EUG",3,,03/24/2024
,03/24/2024 01:01:11 PM,03/24/2024 08:20:49 PM,Hit & Run,CITED IN LIEU OF CUSTODY,24077944,"ROOSEVELT BLVD/N BERTELSEN RD, EUG",6,2404311,03/24/2024
,03/24/2024 12:52:16 PM,03/24/2024 01:21:53 PM,Suspicious Condition(s),ADVISED,24077932,"235 COBURG RD, EUG",3,,03/24/2024
,03/24/2024 12:48:06 PM,03/24/2024 12:50:39 PM,Dispute,INFORMATION ONLY,24077927,"DIVISION AVE/RIVER RD, EUG",3,,03/24/2024
,03/24/2024 12:39:27 PM,03/24/2024 12:39:27 PM,Traffic Stop,WARNING,24077919,"W 7TH AVE/CHARNELTON ST, EUG",6,,03/24/2024
,03/24/2024 12:33:47 PM,,Shoplifter(s),REPORT TAKEN,24077917,"645 RIVER RD, EUG",P,2404294,03/24/2024
,03/24/2024 12:21:20 PM,03/24/2024 12:24:54 PM,Disorderly Subject,ADVISED,24077906,"VAN BUREN ST/W 6TH AVE, EUG",3,,03/24/2024
,03/24/2024 12:19:20 PM,03/24/2024 12:36:26 PM,Dispute,INFORMATION ONLY,24077904,"4153 W 18TH AVE, EUG",3,,03/24/2024
,03/24/2024 12:14:10 PM,03/24/2024 01:07:05 PM,Dispute,ASSISTED,24077899,"540 POLK ST, EUG",3,,03/24/2024
,03/24/2024 12:00:52 PM,03/24/2024 12:00:52 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077891,"COBURG RD/CRESCENT AVE, EUG",6,,03/24/2024
,03/24/2024 11:47:59 AM,,Shoplifter(s),REPORT TAKEN,24077881,"74 DIVISION AVE, EUG",P,2404293,03/24/2024
,03/24/2024 11:33:26 AM,03/24/2024 09:53:54 PM,Hit & Run,ADVISED,24077874,"COBURG RD/CHAD DR, EUG",4,,03/24/2024
,03/24/2024 11:28:43 AM,03/24/2024 11:29:00 AM,Assault,REPORT TAKEN,24077872,"W 18TH AVE/BAILEY HILL RD, EUG",P,2404292,03/24/2024
,03/24/2024 11:24:59 AM,03/24/2024 11:58:44 AM,Assist Outside Agency,ARREST,24077870,"300 COUNTRY CLUB RD, EUG",3,2404296,03/24/2024
,03/24/2024 11:21:11 AM,03/24/2024 12:12:06 PM,Injured Animal(s),ADVISED,24077865,"2315 MARTIN LUTHER KING JR BLVD, EUG",3,,03/24/2024
,03/24/2024 11:18:37 AM,03/24/2024 12:02:50 PM,Dispute,REPORT TAKEN,24077862,"1327 GOODPASTURE ISLAND RD, EUG",3,2404297,03/24/2024
,03/24/2024 11:13:43 AM,03/24/2024 12:15:04 PM,Criminal Trespass,GONE ON ARRIVAL,24077860,"669 W 7TH AVE, EUG",3,,03/24/2024
,03/24/2024 10:55:53 AM,03/24/2024 11:10:35 AM,Criminal Trespass,RESOLVED,24077850,"1410 W 6TH AVE, EUG",3,,03/24/2024
,03/24/2024 10:52:56 AM,03/24/2024 10:54:59 AM,Motor Vehicle Unknown,ASSISTED,24077845,"HWY 99N/PRAIRIE RD, EUG",1,,03/24/2024
,03/24/2024 10:30:56 AM,,Theft from Vehicle,REPORT TAKEN,24077833,"1450 MILL ST, EUG",P,2404290,03/24/2024
,03/24/2024 09:59:33 AM,03/24/2024 01:23:00 PM,Dispute,ASSISTED,24077811,"770 TYLER ST, EUG",3,,03/24/2024
,03/24/2024 09:58:16 AM,03/24/2024 12:22:47 PM,Suspicious Condition(s),UNFOUNDED,24077809,"255 RIVER AVE, EUG",3,,03/24/2024
,03/24/2024 09:55:53 AM,03/24/2024 11:49:52 AM,Dispute,CALLER WILL CALL BACK,24077808,"2117 FRANKLIN BLVD, EUG",3,,03/24/2024
,03/24/2024 09:48:13 AM,03/24/2024 09:48:13 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077804,"I105 EB/I5 SB, EUG",6,,03/24/2024
,03/24/2024 09:39:47 AM,03/24/2024 11:45:34 AM,Disorderly Subject,INFORMATION ONLY,24077800,"150 FIR LN, EUG",3,,03/24/2024
,03/24/2024 09:29:07 AM,,Shoplifter(s),REPORT TAKEN,24077791,"1040 GREEN ACRES RD, EUG",P,2404287,03/24/2024
,03/24/2024 09:27:02 AM,03/24/2024 09:31:01 AM,Dispute,REPORT TAKEN,24077789,"2400-BLK BAILEY HILL RD, EUG",3,2404291,03/24/2024
,03/24/2024 09:21:58 AM,03/24/2024 11:45:52 AM,Burglary,REPORT TAKEN,24077785,"1217 WILLAGILLESPIE RD, EUG",5,2404295,03/24/2024
,03/24/2024 09:21:32 AM,,Lost Property,REPORT TAKEN,24077786,"300 COUNTRY CLUB RD, EUG",P,2404286,03/24/2024
,03/24/2024 09:16:20 AM,03/24/2024 09:30:13 AM,Criminal Trespass,ADVISED,24077780,"66 E 6TH AVE, EUG",3,,03/24/2024
,03/24/2024 09:12:31 AM,03/24/2024 09:12:31 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077774,"325 I105 EB, EUG",6,,03/24/2024
,03/24/2024 09:10:42 AM,,Criminal Mischief,REPORT TAKEN,24077777,"1790 CHARNELTON ST, EUG",P,2404285,03/24/2024
,03/24/2024 08:58:18 AM,03/24/2024 01:31:08 PM,Dispute,ADVISED,24077768,"222 W 11TH AVE, EUG",4,,03/24/2024
,03/24/2024 08:50:10 AM,03/24/2024 08:59:57 AM,Criminal Trespass,ARREST,24077761,"2101 BAILEY HILL RD, EUG",3,2404289,03/24/2024
,03/24/2024 08:44:02 AM,03/24/2024 08:44:02 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077759,"218 I105 WB, EUG",6,,03/24/2024
,03/24/2024 08:23:59 AM,03/24/2024 08:23:59 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077751,"155 I105 EB, EUG",6,,03/24/2024
,03/24/2024 08:02:33 AM,03/24/2024 08:02:33 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077741,"325 I105 EB, EUG",6,,03/24/2024
,03/24/2024 07:58:17 AM,03/24/2024 08:40:43 AM,Locate Missing Person,RESOLVED,24077738,"1204 N PARK AVE, EUG",3,,03/24/2024
,03/24/2024 07:44:52 AM,03/24/2024 07:51:34 AM,Criminal Trespass,RESOLVED,24077733,"495 W 7TH AVE, EUG",3,,03/24/2024
,03/24/2024 07:44:52 AM,03/24/2024 07:46:04 AM,Dispute,REPORT TAKEN,24077732,"770 TYLER ST, EUG",3,2404284,03/24/2024
,03/24/2024 07:35:17 AM,03/24/2024 07:35:17 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077728,"218 I105 WB, EUG",6,,03/24/2024
,03/24/2024 07:23:54 AM,03/24/2024 07:23:54 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077725,"325 I105 EB, EUG",6,,03/24/2024
,03/24/2024 05:55:11 AM,03/24/2024 05:59:46 AM,Disorderly Subject,ARREST,24077713,"969 HWY 99N, EUG",3,2404282,03/24/2024
,03/24/2024 05:52:18 AM,03/24/2024 05:52:18 AM,Traffic Stop,FIELD INVESTIGATION,24077712,"W 11TH AVE/OBIE ST, EUG",6,,03/24/2024
,03/24/2024 05:42:20 AM,03/24/2024 05:42:20 AM,Traffic Stop,SOBRIETY CHECK,24077709,"BRITTANY ST/W 18TH AVE, EUG",6,,03/24/2024
,03/24/2024 05:17:14 AM,03/24/2024 05:17:14 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077706,"W 11TH AVE/BAILEY HILL RD, EUG",6,,03/24/2024
,03/24/2024 05:00:38 AM,03/24/2024 05:15:37 AM,Criminal Trespass,GONE ON ARRIVAL,24077705,"3110 W 11TH AVE, EUG",3,,03/24/2024
,03/24/2024 04:53:26 AM,03/24/2024 04:53:26 AM,Traffic Stop,ADVISED,24077703,"HARLOW RD/VAN DUYN ST, EUG",6,,03/24/2024
,03/24/2024 04:29:30 AM,03/24/2024 04:43:20 AM,Unknown Problem,WELFARE CHECK DONE,24077697,"1305 QUAKER ST, EUG",3,,03/24/2024
,03/24/2024 04:08:39 AM,03/24/2024 04:19:28 AM,Dispute,WELFARE CHECK DONE,24077687,"2823 MATT DR, EUG",3,,03/24/2024
,03/24/2024 04:08:31 AM,03/24/2024 04:08:31 AM,Traffic Stop,WARNING,24077686,"E BROADWAY/WILLAMETTE ST, EUG",6,,03/24/2024
,03/24/2024 03:20:11 AM,03/24/2024 03:20:11 AM,Traffic Stop,WARNING,24077679,"N JACKSON ST/CHESHIRE AVE, EUG",6,,03/24/2024
,03/24/2024 03:18:47 AM,03/24/2024 03:18:48 AM,Traffic Stop,WARNING,24077678,"10002-BLK COBURG RD, EUG",6,,03/24/2024
,03/24/2024 03:14:17 AM,03/24/2024 03:14:18 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077677,"DELTA NB HWY/GREEN ACRES RD, EUG",6,,03/24/2024
,03/24/2024 03:04:06 AM,03/24/2024 03:04:06 AM,Traffic Stop,ADVISED,24077671,"BELTLINE WB/DELTA SB HWY, EUG",6,,03/24/2024
,03/24/2024 03:01:38 AM,03/24/2024 03:07:04 AM,Criminal Trespass,ADVISED,24077668,"505 WILLAMETTE ST, EUG",3,,03/24/2024
,03/24/2024 02:54:37 AM,03/24/2024 02:59:17 AM,"Accident, Bike",ASSISTED,24077665,"1185 W 7TH AVE, EUG",1,,03/24/2024
,03/24/2024 02:51:37 AM,03/24/2024 05:46:32 AM,Criminal Trespass,GONE ON ARRIVAL,24077664,"2101 BAILEY HILL RD, EUG",3,,03/24/2024
,03/24/2024 02:49:20 AM,03/24/2024 03:10:53 AM,Disorderly Subject,ARREST,24077661,"3655 W 13TH AVE, EUG",3,2404281,03/24/2024
,03/24/2024 02:48:18 AM,03/24/2024 02:48:18 AM,Traffic Stop,ADVISED,24077659,"CHARNELTON ST/W BROADWAY, EUG",6,,03/24/2024
,03/24/2024 02:43:46 AM,03/24/2024 02:43:46 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077657,"E 7TH AVE/HIGH ST, EUG",6,,03/24/2024
,03/24/2024 02:31:16 AM,03/24/2024 02:31:16 AM,Traffic Stop,ADVISED,24077653,"E 13TH AVE/PEARL ST, EUG",6,,03/24/2024
,03/24/2024 02:10:42 AM,03/24/2024 02:10:42 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077647,"W 11TH AVE/BAILEY HILL RD, EUG",6,,03/24/2024
,03/24/2024 02:07:08 AM,03/24/2024 02:07:08 AM,Traffic Stop,SOBRIETY CHECK,24077645,"WILLAMETTE ST/E 11TH AVE, EUG",6,,03/24/2024
,03/24/2024 02:04:51 AM,03/24/2024 02:11:42 AM,Loud Party,PATROL CHECK,24077644,"2823 MATT DR, EUG",5,,03/24/2024
,03/24/2024 01:59:46 AM,03/24/2024 01:59:46 AM,Traffic Stop,SOBRIETY CHECK,24077638,"W BROADWAY/CHARNELTON ST, EUG",6,,03/24/2024
,03/24/2024 01:47:47 AM,03/24/2024 01:51:27 AM,Reckless Driving,UNABLE TO LOCATE,24077634,"813 BELTLINE EB, EUG",3,,03/24/2024
,03/24/2024 01:46:36 AM,03/24/2024 01:46:36 AM,Traffic Stop,WARNING,24077633,"E 6TH AVE/OAK ST, EUG",6,,03/24/2024
,03/24/2024 01:33:27 AM,03/24/2024 01:33:27 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077631,"SENECA RD/W 5TH AVE, EUG",6,,03/24/2024
,03/24/2024 01:27:18 AM,03/24/2024 01:27:19 AM,Traffic Stop,WARNING,24077627,"E 8TH AVE/MILL ST, EUG",6,,03/24/2024
,03/24/2024 01:21:00 AM,03/24/2024 01:21:01 AM,Traffic Stop,SOBRIETY CHECK,24077623,"W 1ST AVE/JEFFERSON ST, EUG",6,,03/24/2024
,03/24/2024 01:04:27 AM,03/24/2024 01:58:37 AM,Criminal Trespass,ARREST,24077619,"457 LONE OAK AVE, EUG",3,2404280,03/24/2024
,03/24/2024 12:59:59 AM,03/24/2024 12:59:59 AM,Person Stop,WARNING,24077609,"734 HWY 99N, EUG",6,,03/24/2024
,03/24/2024 12:56:06 AM,03/24/2024 12:56:07 AM,Traffic Stop,WARNING,24077603,"1021 BELTLINE WB, EUG",6,,03/24/2024
,03/24/2024 12:54:27 AM,03/24/2024 12:54:27 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077602,"W 2ND AVE/CHAMBERS ST, EUG",6,,03/24/2024
,03/24/2024 12:54:21 AM,03/24/2024 01:11:07 AM,Criminal Trespass,RESOLVED,24077601,"1711 WILLAMETTE ST, EUG",3,,03/24/2024
,03/24/2024 12:47:29 AM,03/24/2024 12:47:29 AM,Traffic Stop,WARNING,24077597,"2110 W 6TH AVE, EUG",6,,03/24/2024
,03/24/2024 12:34:03 AM,03/24/2024 12:34:03 AM,Traffic Stop,FIELD INVESTIGATION,24077587,"W 11TH AVE/S BERTELSEN RD, EUG",6,,03/24/2024
,03/24/2024 12:23:06 AM,03/24/2024 12:23:33 AM,Disorderly Subject,ASSISTED,24077582,"58 W 11TH AVE, EUG",3,,03/24/2024
,03/24/2024 12:21:02 AM,03/24/2024 01:15:40 AM,Illegal Burning,GONE ON ARRIVAL,24077581,"W 13TH AVE/WASHINGTON ST, EUG",5,,03/24/2024
,03/24/2024 12:13:31 AM,03/24/2024 12:13:31 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24077574,"W 7TH AVE/TAYLOR ST, EUG",6,,03/24/2024
,03/24/2024 12:06:51 AM,03/24/2024 12:09:27 AM,Prowler(s),ARREST,24077570,"351 CLARK ST, EUG",3,2404277,03/24/2024
,03/25/2024 11:49:21 PM,03/25/2024 11:51:25 PM,Dispute,WELFARE CHECK DONE,24079209,"1559 CITY VIEW ST, EUG",3,,03/25/2024
,03/25/2024 11:41:44 PM,03/25/2024 11:48:04 PM,Dispute,WELFARE CHECK DONE,24079205,"20 HATTON AVE, EUG",3,,03/25/2024
,03/25/2024 11:38:16 PM,03/26/2024 12:07:55 AM,Criminal Trespass,PATROL CHECK,24079201,"1040 HAYES ST, EUG",3,,03/25/2024
,03/25/2024 11:35:58 PM,03/26/2024 12:17:18 AM,Disorderly Subject,INFORMATION ONLY,24079199,"1006 W 7TH AVE, EUG",3,,03/25/2024
,03/25/2024 11:27:10 PM,03/25/2024 11:54:08 PM,Prowler(s),GONE ON ARRIVAL,24079196,"3125 KINSROW AVE, EUG",3,,03/25/2024
,03/25/2024 11:20:13 PM,03/25/2024 11:35:25 PM,Criminal Trespass,ADVISED,24079191,"1661 FERRY ST, EUG",3,,03/25/2024
,03/25/2024 11:02:42 PM,03/25/2024 11:07:01 PM,Dispute,WELFARE CHECK DONE,24079186,"1150 W 11TH AVE, EUG",3,,03/25/2024
,03/25/2024 10:57:00 PM,03/25/2024 11:17:59 PM,Criminal Trespass,GONE ON ARRIVAL,24079183,"910 WILLAMETTE ST, EUG",3,,03/25/2024
,03/25/2024 10:47:42 PM,03/25/2024 11:33:18 PM,Dispute,ADVISED,24079177,"3824 PEPPERTREE DR, EUG",3,,03/25/2024
,03/25/2024 10:46:50 PM,03/25/2024 10:57:24 PM,Dispute,WELFARE CHECK DONE,24079175,"4927 PARSONS AVE, EUG",3,,03/25/2024
,03/25/2024 10:39:07 PM,03/25/2024 10:39:07 PM,Criminal Trespass,PATROL CHECK,24079171,"2133 CENTENNIAL PLAZA, EUG",P,,03/25/2024
,03/25/2024 10:15:35 PM,03/25/2024 10:32:24 PM,Subject Screaming,UNABLE TO LOCATE,24079163,"POLK ST/W 6TH AVE, EUG",3,,03/25/2024
,03/25/2024 10:09:57 PM,03/25/2024 10:15:08 PM,Dispute,REPORT TAKEN,24079161,"2287 WISCONSIN ST, EUG",3,2404361,03/25/2024
,03/25/2024 09:33:31 PM,03/25/2024 09:34:09 PM,Drowning,REPORT TAKEN,24079140,"1459 CITY VIEW ST, EUG",1,2404358,03/25/2024
,03/25/2024 09:33:31 PM,03/25/2024 09:34:09 PM,Drowning,REPORT TAKEN,24079140,"1459 CITY VIEW ST, EUG",1,2404358,03/25/2024
,03/25/2024 09:16:59 PM,03/25/2024 09:17:29 PM,Motor Vehicle Unknown,REPORT TAKEN,24079134,"W 6TH AVE/GRANT ST, EUG",1,2404357,03/25/2024
,03/25/2024 09:16:05 PM,03/25/2024 09:16:06 PM,Traffic Stop,FIELD INVESTIGATION,24079132,"W 11TH AVE/HAYES ST, EUG",6,,03/25/2024
,03/25/2024 08:49:29 PM,03/25/2024 08:53:14 PM,Illegal Burning,INFORMATION ONLY,24079114,"COUNTY FARM RD/FOX MEADOW RD, EUG",5,,03/25/2024
,03/25/2024 08:35:31 PM,03/25/2024 09:07:55 PM,Disorderly Juvenile(s),GONE ON ARRIVAL,24079103,"HAYES ST/W 18TH AVE, EUG",3,,03/25/2024
,03/25/2024 08:15:35 PM,03/25/2024 08:19:17 PM,Burglary,UNFOUNDED,24079089,"2075 MCMILLAN ST, EUG",3,,03/25/2024
,03/25/2024 08:12:45 PM,03/25/2024 08:17:01 PM,Dispute,WELFARE CHECK DONE,24079085,"2940 CRESCENT AVE, EUG",3,,03/25/2024
,03/25/2024 08:05:55 PM,03/25/2024 08:15:18 PM,Suspicious Subject(s),UNABLE TO LOCATE,24079080,"2951 COBURG RD, EUG",3,,03/25/2024
,03/25/2024 07:49:29 PM,03/25/2024 09:05:13 PM,Suspicious Condition(s),UNABLE TO LOCATE,24079070,"RIVERVIEW ST/SYLVAN ST, EUG",3,,03/25/2024
,03/25/2024 07:44:42 PM,03/26/2024 12:42:35 AM,Loud Noise,INFORMATION ONLY,24079068,"4143 MARSHALL AVE, EUG",5,,03/25/2024
,03/25/2024 07:33:12 PM,03/25/2024 07:33:12 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,24079057,"18196 I5 NB, CRE",6,,03/25/2024
,03/25/2024 07:28:12 PM,03/25/2024 09:32:57 PM,Assault,CALLER WILL CALL BACK,24079052,"717 HWY 99N, EUG",3,,03/25/2024
,03/25/2024 07:03:56 PM,03/25/2024 07:06:55 PM,Alarm,PATROL CHECK,24079031,"2699 ROOSEVELT BLVD, EUG",3,,03/25/2024
,03/25/2024 06:48:39 PM,03/25/2024 06:58:37 PM,Unknown Problem,WELFARE CHECK DONE,24079023,"2287 WISCONSIN ST, EUG",3,,03/25/2024
,03/25/2024 06:26:40 PM,03/25/2024 06:31:54 PM,Suspicious Condition(s),PATROL CHECK,24079008,"1500 COBURG RD, EUG",3,,03/25/2024
