Map,Call Time,Dispatch Time,Incident Desc,Disposition,Event Number,Location,Priority,Case,Date
,03/24/2025 10:02:40 PM,03/24/2025 10:06:41 PM,Dispute,REPORT TAKEN,25076432,"1333 OAK PATCH RD, EUG",6,2504741,03/24/2025
,03/24/2025 09:27:17 PM,03/24/2025 09:39:57 PM,Assault,WELFARE CHECK DONE,25076413,"439 ALEXANDER LP, EUG",3,,03/24/2025
,03/24/2025 09:26:28 PM,03/24/2025 09:26:28 PM,Person Stop,PATROL CHECK,25076412,"W 7TH AVE/POLK ST, EUG",6,,03/24/2025
,03/24/2025 09:04:35 PM,03/24/2025 09:04:36 PM,Traffic Stop,ARREST,25076399,"ELMIRA RD/N BERTELSEN RD, EUG",6,2504739,03/24/2025
,03/24/2025 09:04:16 PM,03/24/2025 09:04:16 PM,Traffic Signal Malfunction,PATROL CHECK,25076398,"W 7TH AVE/W 7TH PL, EUG",P,,03/24/2025
,03/24/2025 08:43:02 PM,03/24/2025 08:58:10 PM,Found Animal(s),DISREGARD,25076384,"28801 DOUGLAS DR, EUG",4,,03/24/2025
,03/24/2025 08:40:14 PM,03/24/2025 08:44:18 PM,Disabled Vehicle(s),ASSISTED,25076380,"76 I105 EB, EUG",3,,03/24/2025
,03/24/2025 08:22:52 PM,03/24/2025 08:31:10 PM,Dispute,GONE ON ARRIVAL,25076365,"325 BLAIR BLVD, EUG",3,,03/24/2025
,03/24/2025 07:51:40 PM,03/24/2025 07:55:42 PM,Theft,PATROL CHECK,25076338,"W 10TH AVE/CHARNELTON ST, EUG",3,,03/24/2025
,03/24/2025 07:51:39 PM,03/24/2025 07:51:39 PM,Disabled Vehicle(s),ASSISTED,25076337,"76 I105 EB, EUG",P,,03/24/2025
,03/24/2025 07:45:33 PM,03/24/2025 07:51:42 PM,Suspicious Condition(s),RESOLVED,25076329,"738 E 16TH AVE, EUG",3,,03/24/2025
,03/24/2025 07:10:10 PM,03/24/2025 07:14:21 PM,Suspicious Subject(s),GONE ON ARRIVAL,25076291,"3855 W 11TH AVE, EUG",3,,03/24/2025
,03/24/2025 06:56:25 PM,03/24/2025 09:46:42 PM,Assault,REPORT TAKEN,25076279,"2130 DAKOTA ST, EUG",4,2504740,03/24/2025
,03/24/2025 06:55:53 PM,03/24/2025 06:59:43 PM,Armed Subject(s),FIELD INVESTIGATION,25076278,"55 RIVER AVE, EUG",3,,03/24/2025
,03/24/2025 06:22:36 PM,03/24/2025 06:24:29 PM,Dispute,REPORT TAKEN,25076238,"893 W 5TH AVE, EUG",3,2504738,03/24/2025
,03/24/2025 06:18:06 PM,03/24/2025 06:20:29 PM,Dispute,GONE ON ARRIVAL,25076232,"SENECA RD/W 11TH AVE, EUG",3,,03/24/2025
,03/24/2025 05:58:42 PM,03/24/2025 06:16:03 PM,Suspicious Subject(s),CITED IN LIEU OF CUSTODY,25076212,"2950 GATEWAY ST, SPR",P,,03/24/2025
,03/24/2025 05:52:43 PM,03/24/2025 06:05:34 PM,Disorderly Subject,ARREST,25076206,"263 MILL ST, EUG",3,2504737,03/24/2025
,03/24/2025 05:41:48 PM,03/24/2025 05:45:36 PM,Speeding Vehicle(s),UNABLE TO LOCATE,25076190,"94 I105 WB, EUG",3,,03/24/2025
,03/24/2025 05:41:26 PM,03/24/2025 09:44:02 PM,Theft,FOLLOW UP INVESTIGATION,25076189,"407 LOMBARD ST, EUG",4,,03/24/2025
,03/24/2025 05:38:16 PM,03/24/2025 06:40:09 PM,Unknown Problem,UNABLE TO LOCATE,25076185,"1545 W 13TH AVE, EUG",3,,03/24/2025
,03/24/2025 04:20:42 PM,03/24/2025 04:37:02 PM,Dispute,WELFARE CHECK DONE,25076110,"2556 SHELDON VILLAGE LP, EUG",3,,03/24/2025
,03/24/2025 04:03:43 PM,03/24/2025 04:03:43 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25076092,"155 I105 EB, EUG",6,,03/24/2025
,03/24/2025 03:59:33 PM,03/24/2025 03:59:33 PM,Traffic Stop,FIELD INVESTIGATION,25076087,"437 I105 EB, SPR",6,,03/24/2025
,03/24/2025 03:58:50 PM,03/24/2025 03:58:51 PM,Wrong Way Driver,RESOLVED,25076085,"W 6TH AVE/WASHINGTON ST, EUG",P,,03/24/2025
,03/24/2025 03:52:27 PM,03/24/2025 03:56:13 PM,Dispute,ADVISED,25076079,"844 OLIVE ST, EUG",3,,03/24/2025
,03/24/2025 03:49:50 PM,03/24/2025 03:52:39 PM,Dispute,ASSISTED,25076074,"1470 WAITE ST, EUG",3,,03/24/2025
,03/24/2025 03:48:06 PM,03/24/2025 03:48:06 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25076072,"325 I105 EB, EUG",6,,03/24/2025
,03/24/2025 03:31:58 PM,03/24/2025 03:31:59 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25076055,"W 7TH AVE/MADISON ST, EUG",6,,03/24/2025
,03/24/2025 03:26:20 PM,03/24/2025 03:26:20 PM,Traffic Stop,WARNING,25076049,"W 7TH AVE/FILLMORE ST, EUG",6,,03/24/2025
,03/24/2025 03:17:59 PM,03/24/2025 03:28:05 PM,Criminal Trespass,REPORT TAKEN,25076036,"263 W 13TH AVE, EUG",4,2504734,03/24/2025
,03/24/2025 03:15:43 PM,03/24/2025 03:35:20 PM,Criminal Trespass,FIELD INVESTIGATION,25076029,"1875 W 11TH AVE, EUG",4,,03/24/2025
,03/24/2025 03:08:50 PM,03/24/2025 03:08:50 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25076022,"W 7TH AVE/POLK ST, EUG",6,,03/24/2025
,03/24/2025 03:01:20 PM,03/24/2025 03:12:34 PM,Dispute,WELFARE CHECK DONE,25076016,"1805 GARDEN AVE, EUG",3,,03/24/2025
,03/24/2025 02:58:05 PM,03/24/2025 02:58:05 PM,Traffic Stop,FIELD INVESTIGATION,25076013,"W 7TH AVE/FILLMORE ST, EUG",6,,03/24/2025
,03/24/2025 02:57:43 PM,03/24/2025 05:50:50 PM,Theft,UNABLE TO LOCATE,25076012,"2315 MARTIN LUTHER KING JR BLVD, EUG",4,,03/24/2025
,03/24/2025 02:51:20 PM,,Criminal Mischief,REPORT TAKEN,25076006,"88 JACKSON ST, EUG",P,2504732,03/24/2025
,03/24/2025 02:47:48 PM,03/24/2025 03:14:04 PM,Animal Cruelty,DISREGARD,25076002,"293 VALLEY RIVER CENTER, EUG",3,,03/24/2025
,03/24/2025 02:40:31 PM,03/24/2025 02:45:01 PM,Dispute,WELFARE CHECK DONE,25075994,"PATTERSON ALY/E 12TH AVE, EUG",3,,03/24/2025
,03/24/2025 02:40:02 PM,03/24/2025 02:40:02 PM,Illegal Burning,REPORT TAKEN,25075993,"W 6TH AVE/GARFIELD ST, EUG",1,2504735,03/24/2025
,03/24/2025 02:38:45 PM,,Theft,REPORT TAKEN,25075990,"1415 W 24TH AVE, EUG",P,2504729,03/24/2025
,03/24/2025 02:37:26 PM,03/24/2025 02:42:27 PM,Dog(s) at Large,INFORMATION ONLY,25075985,"3060 SKYVIEW LN, EUG",4,,03/24/2025
,03/24/2025 02:30:20 PM,,Criminal Mischief,REPORT TAKEN,25075980,"528 W 10TH AVE, EUG",P,2504728,03/24/2025
,03/24/2025 02:22:06 PM,03/24/2025 02:22:06 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075966,"W 7TH AVE/FILLMORE ST, EUG",6,,03/24/2025
,03/24/2025 02:18:24 PM,03/24/2025 02:23:55 PM,Motor Vehicle Unknown,CITED IN LIEU OF CUSTODY,25075961,"N DANEBO AVE/ROYAL AVE, EUG",1,2504733,03/24/2025
,03/24/2025 02:17:50 PM,,Theft from Vehicle,REPORT TAKEN,25075962,"1715 MILL ST, EUG",P,2504726,03/24/2025
,03/24/2025 02:08:17 PM,03/24/2025 05:43:53 PM,Criminal Trespass,GONE ON ARRIVAL,25075945,"2750 ROOSEVELT BLVD, EUG",4,,03/24/2025
,03/24/2025 02:05:32 PM,03/24/2025 02:05:33 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075943,"W 7TH AVE/FILLMORE ST, EUG",6,,03/24/2025
,03/24/2025 01:58:42 PM,03/24/2025 02:04:30 PM,Dispute,PATROL CHECK,25075939,"3624-BLK AGATE ST, EUG",3,,03/24/2025
,03/24/2025 01:46:01 PM,03/24/2025 02:00:16 PM,Illegal Discharge Firearms,PATROL CHECK,25075928,"1200-BLK CALVIN ST, EUG",3,,03/24/2025
,03/24/2025 01:40:10 PM,,Theft,REPORT TAKEN,25075923,"1728 FERRY ST, EUG",P,2504724,03/24/2025
,03/24/2025 01:40:02 PM,03/24/2025 01:40:02 PM,Illegal Camping,ARREST,25075919,"W 2ND AVE/VAN BUREN ST, EUG",P,2504725,03/24/2025
,03/24/2025 01:27:08 PM,03/24/2025 01:34:57 PM,Criminal Trespass,ARREST,25075906,"2445 HILYARD ST, EUG",4,2504727,03/24/2025
,03/24/2025 01:25:52 PM,,Theft from Vehicle,REPORT TAKEN,25075904,"1987 UNIVERSITY ST, EUG",P,2504721,03/24/2025
,03/24/2025 01:24:47 PM,03/24/2025 01:24:47 PM,Traffic Stop,REPORT TAKEN,25075903,"W 7TH AVE/POLK ST, EUG",6,2504723,03/24/2025
,03/24/2025 01:19:00 PM,03/24/2025 01:19:00 PM,Traffic Stop,FIELD INVESTIGATION,25075900,"W 7TH AVE/ALMADEN ST, EUG",6,,03/24/2025
,03/24/2025 01:18:55 PM,03/24/2025 07:39:32 PM,Hit & Run,NO INVESTIGATION,25075899,"CHAMBERS ST/W 6TH AVE, EUG",4,,03/24/2025
,03/24/2025 01:11:29 PM,03/24/2025 01:18:02 PM,Shoplifter(s),ASSISTING OFFICER,25075892,"5 OAKWAY CENTER, EUG",3,2504722,03/24/2025
,03/24/2025 01:03:06 PM,03/24/2025 01:03:06 PM,Traffic Stop,SOBRIETY CHECK,25075887,"COBURG RD/CAL YOUNG RD, EUG",6,,03/24/2025
,03/24/2025 01:02:30 PM,03/24/2025 02:27:02 PM,Burglary,REPORT TAKEN,25075885,"150 OROYAN AVE, EUG",5,2504731,03/24/2025
,03/24/2025 12:59:26 PM,03/24/2025 12:59:26 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075884,"W 7TH AVE/ALMADEN ST, EUG",6,,03/24/2025
,03/24/2025 12:51:42 PM,03/24/2025 12:51:43 PM,Traffic Stop,FIELD INVESTIGATION,25075875,"W 6TH AVE/TYLER ST, EUG",6,,03/24/2025
,03/24/2025 12:44:20 PM,03/24/2025 12:51:52 PM,Suspicious Condition(s),RESOLVED,25075869,"1788 W 6TH AVE, EUG",3,,03/24/2025
,03/24/2025 12:40:51 PM,03/24/2025 12:55:19 PM,Disorderly Subject,ARREST,25075864,"1522 W 6TH AVE, EUG",8,2504720,03/24/2025
,03/24/2025 12:31:26 PM,03/24/2025 12:35:58 PM,Dispute,WELFARE CHECK DONE,25075857,"3059 MATT DR, EUG",3,,03/24/2025
,03/24/2025 12:29:28 PM,03/24/2025 12:29:28 PM,Traffic Stop,FIELD INVESTIGATION,25075856,"W 6TH AVE/GRANT ST, EUG",6,,03/24/2025
,03/24/2025 12:25:05 PM,03/24/2025 12:36:44 PM,Traffic Hazard,PATROL CHECK,25075854,"MADISON ST/W 7TH AVE, EUG",3,,03/24/2025
,03/24/2025 12:20:10 PM,03/24/2025 12:20:10 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075851,"1465 W 7TH AVE, EUG",6,,03/24/2025
,03/24/2025 12:19:24 PM,03/24/2025 12:38:08 PM,Found Property,RESOLVED,25075848,"300 COUNTRY CLUB RD, EUG",5,,03/24/2025
,03/24/2025 12:15:49 PM,03/24/2025 12:22:51 PM,Disorderly Subject,GONE ON ARRIVAL,25075844,"N GAME FARM RD/I5 SB, EUG",3,,03/24/2025
,03/24/2025 12:09:38 PM,03/24/2025 12:11:19 PM,Dispute,REPORT TAKEN,25075836,"CORLISS LN/RIVER RD, EUG",3,2504718,03/24/2025
,03/24/2025 12:08:55 PM,03/24/2025 12:08:55 PM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075833,"W 6TH AVE/ALMADEN ST, EUG",6,,03/24/2025
,03/24/2025 12:07:37 PM,03/24/2025 12:35:15 PM,Blocked Driveway,ADVISED,25075831,"58 W 11TH AVE, EUG",5,,03/24/2025
,03/24/2025 12:02:25 PM,03/24/2025 12:04:10 PM,Motor Vehicle Unknown,ASSISTED,25075824,"WILLAMETTE ST/W 17TH AVE, EUG",1,,03/24/2025
,03/24/2025 11:58:54 AM,03/24/2025 11:58:54 AM,Assist Public Works,RESOLVED,25075819,"W 6TH ALY/JEFFERSON ST, EUG",P,,03/24/2025
,03/24/2025 11:18:28 AM,03/24/2025 11:22:02 AM,Criminal Trespass,GONE ON ARRIVAL,25075785,"1637 OAK ST, EUG",4,,03/24/2025
,03/24/2025 11:16:46 AM,,Theft from Vehicle,REPORT TAKEN,25075784,"2755 FILLMORE ST, EUG",P,2504715,03/24/2025
,03/24/2025 11:11:10 AM,03/24/2025 11:19:24 AM,Criminal Trespass,CITED IN LIEU OF CUSTODY,25075782,"350-BLK N DANEBO AVE, EUG",4,2504717,03/24/2025
,03/24/2025 11:03:45 AM,,Criminal Mischief,REPORT TAKEN,25075772,"200 N MONROE ST, EUG",P,2504714,03/24/2025
,03/24/2025 10:53:12 AM,03/24/2025 10:53:12 AM,Traffic Stop,FIELD INVESTIGATION,25075763,"325 I105 EB, EUG",6,,03/24/2025
,03/24/2025 10:34:22 AM,,Theft from Vehicle,REPORT TAKEN,25075742,"1800 ONYX ST, EUG",P,2504711,03/24/2025
,03/24/2025 10:32:00 AM,03/24/2025 10:32:00 AM,Traffic Stop,WARNING,25075740,"235 COBURG RD, EUG",6,,03/24/2025
,03/24/2025 10:26:09 AM,03/24/2025 11:35:15 AM,Unauthorized Use of Vehicle,REPORT TAKEN,25075732,"1062 LEGACY LN, EUG",5,2504719,03/24/2025
,03/24/2025 10:14:00 AM,,Graffiti Calls,,25076735,"975 OAK ST, EUG",P,2504753,03/24/2025
,03/24/2025 10:12:09 AM,03/24/2025 10:12:09 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075721,"201 COBURG RD, EUG",6,,03/24/2025
,03/24/2025 10:08:00 AM,,Criminal Mischief,,25075754,"975 OAK ST, EUG",P,2504712,03/24/2025
,03/24/2025 10:00:43 AM,03/24/2025 10:00:43 AM,Traffic Stop,FIELD INVESTIGATION,25075710,"MARTIN LUTHER KING JR BLVD/COUNTRY CLUB RD, EUG",6,,03/24/2025
,03/24/2025 10:00:38 AM,03/24/2025 10:36:17 AM,Criminal Trespass,GONE ON ARRIVAL,25075709,"2839 WILLAMETTE ST, EUG",4,,03/24/2025
,03/24/2025 09:59:33 AM,03/24/2025 09:59:33 AM,Disabled Vehicle(s),ASSISTED,25075707,"DELTA NB HWY/GOODPASTURE ISLAND RD, EUG",P,,03/24/2025
,03/24/2025 09:57:27 AM,03/24/2025 10:04:05 AM,Dog(s) at Large,REPORT TAKEN,25075703,"1500-BLK MCKINLEY CT, EUG",9,2504710,03/24/2025
,03/24/2025 09:57:19 AM,03/24/2025 10:35:14 AM,Criminal Trespass,ASSISTED,25075702,"1400 CROSS ST, EUG",6,,03/24/2025
,03/24/2025 09:56:37 AM,03/24/2025 09:57:05 AM,Suspicious Condition(s),WELFARE CHECK DONE,25075699,"1355-BLK RIVER RD, EUG",P,,03/24/2025
,03/24/2025 09:45:28 AM,03/24/2025 09:45:28 AM,Illegal Camping,ASSISTED,25075686,"ROOSEVELT BLVD/N SENECA RD, EUG",P,,03/24/2025
,03/24/2025 09:44:00 AM,,Criminal Mischief,,25076708,"85385 S WILLAMETTE ST, EUG",P,2504748,03/24/2025
,03/24/2025 09:41:33 AM,03/24/2025 09:41:34 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075681,"MARTIN LUTHER KING JR BLVD/CENTENNIAL LP, EUG",6,,03/24/2025
,03/24/2025 09:37:59 AM,03/24/2025 09:49:45 AM,Unauthorized Use of Vehicle,REPORT TAKEN,25075678,"1445 HWY 99N, EUG",3,2504709,03/24/2025
,03/24/2025 09:30:28 AM,03/24/2025 09:37:19 AM,Location Stolen Vehicle,FOLLOW UP INVESTIGATION,25075672,"29407 W ENID RD, EUG",3,,03/24/2025
,03/24/2025 09:12:24 AM,03/24/2025 09:14:45 AM,Criminal Trespass,ARREST,25075652,"450 HWY 99N, EUG",4,2504708,03/24/2025
,03/24/2025 09:11:40 AM,03/24/2025 09:15:09 AM,Animal Abuse,WARNING,25075651,"1665 OAK PATCH RD, EUG",5,,03/24/2025
,03/24/2025 09:04:00 AM,03/24/2025 09:04:00 AM,Assist Public Works,CITED IN LIEU OF CUSTODY,25075645,"W 5TH AVE/WALLIS ST, EUG",P,2504706,03/24/2025
,03/24/2025 09:00:00 AM,,Criminal Mischief,,25076691,125 W 11TH AVE,P,2504746,03/24/2025
,03/24/2025 08:37:07 AM,03/24/2025 08:41:33 AM,Criminal Trespass,GONE ON ARRIVAL,25075626,"450 HWY 99N, EUG",4,,03/24/2025
,03/24/2025 08:30:35 AM,03/24/2025 08:32:24 AM,Motor Vehicle Injury,REPORT TAKEN,25075621,"W 7TH AVE/WASHINGTON ST, EUG",1,2504707,03/24/2025
,03/24/2025 08:30:10 AM,03/24/2025 08:30:10 AM,Traffic Stop,PATROL CHECK,25075620,"291 W 8TH AVE, EUG",6,,03/24/2025
,03/24/2025 08:19:43 AM,03/24/2025 08:19:44 AM,Traffic Stop,CITED IN LIEU OF CUSTODY,25075612,"CENTENNIAL LP/MARTIN LUTHER KING JR BLVD, EUG",6,2504705,03/24/2025
,03/24/2025 08:15:53 AM,03/24/2025 10:35:57 AM,Criminal Trespass,ARREST,25075608,"3811 CROSS ST, EUG",6,2504713,03/24/2025
,03/24/2025 08:12:03 AM,03/24/2025 08:17:27 AM,Criminal Trespass,CITED IN LIEU OF CUSTODY,25075607,"640 FILLMORE ST, EUG",4,2504704,03/24/2025
,03/24/2025 08:05:24 AM,03/24/2025 08:05:24 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075599,"E BROADWAY/FERRY ST, EUG",6,,03/24/2025
,03/24/2025 07:52:04 AM,03/24/2025 07:52:04 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075585,"2060 MARTIN LUTHER KING JR BLVD, EUG",6,,03/24/2025
,03/24/2025 07:39:45 AM,03/24/2025 07:49:17 AM,Disorderly Subject,ARREST,25075580,"E 7TH AVE/HIGH ST, EUG",3,2504703,03/24/2025
,03/24/2025 07:19:17 AM,03/24/2025 07:19:17 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075574,"E 30TH AVE/AGATE ST, EUG",6,,03/24/2025
,03/24/2025 07:10:21 AM,03/24/2025 07:10:21 AM,Traffic Stop,UNIFORM TRAFFIC CITATION ISSUED,25075570,"W 2ND AVE/CHAMBERS ST, EUG",6,,03/24/2025
,03/24/2025 07:09:23 AM,03/24/2025 07:14:40 AM,Burglary,REPORT TAKEN,25075568,"135 BLAIR BLVD, EUG",4,2504702,03/24/2025
,03/24/2025 07:03:55 AM,03/24/2025 07:03:56 AM,Disabled Vehicle(s),ASSISTED,25075564,"CHAMBERS ST/RIVER RD, EUG",P,,03/24/2025
,03/24/2025 07:03:34 AM,03/24/2025 07:03:35 AM,Disabled Vehicle(s),DISREGARD,25075563,"CHAMBERS ST/RIVER RD, EUG",P,,03/24/2025
,03/24/2025 06:46:44 AM,03/24/2025 06:56:57 AM,"Fire, Trash Bin",PATROL CHECK,25075555,"NORKENZIE RD/CRESCENT AVE, EUG",5,,03/24/2025
,03/24/2025 06:45:41 AM,03/24/2025 07:10:26 AM,Illegal Burning,INFORMATION ONLY,25075554,"E 7TH AVE/HIGH ST, EUG",5,,03/24/2025
,03/24/2025 06:25:02 AM,03/24/2025 06:53:28 AM,Shot(s) Fired,PATROL CHECK,25075548,"CRESCENT AVE/TULIP ST, EUG",3,,03/24/2025
,03/24/2025 05:52:46 AM,03/24/2025 05:54:34 AM,Prowler(s),GONE ON ARRIVAL,25075540,"1247 W 14TH AVE, EUG",3,,03/24/2025
,03/24/2025 05:11:19 AM,03/24/2025 07:17:48 AM,Criminal Trespass,GONE ON ARRIVAL,25075536,"222 E BROADWAY, EUG",4,,03/24/2025
,03/24/2025 05:08:42 AM,03/24/2025 05:18:40 AM,Disorderly Subject,ARREST,25075535,"240 WASHINGTON ST, EUG",3,2504701,03/24/2025
,03/24/2025 04:46:07 AM,03/24/2025 04:46:07 AM,Person Stop,WARNING,25075531,"HWY 99N/ROOSEVELT BLVD, EUG",6,,03/24/2025
,03/24/2025 04:21:25 AM,03/24/2025 04:40:50 AM,Loud Noise,PATROL CHECK,25075530,"222 W 11TH AVE, EUG",5,,03/24/2025
,03/24/2025 04:21:09 AM,03/24/2025 04:21:09 AM,Person Stop,WARNING,25075529,"HWY 99N/ROOSEVELT BLVD, EUG",6,,03/24/2025
,03/24/2025 04:03:44 AM,03/24/2025 04:03:44 AM,Traffic Stop,WARNING,25075524,"ROYAL AVE/RED CEDAR CT, EUG",6,,03/24/2025
,03/24/2025 04:01:05 AM,03/24/2025 04:05:39 AM,Dispute,REPORT TAKEN,25075523,"383 FOCH ST, EUG",3,2504700,03/24/2025
,03/24/2025 03:13:03 AM,03/24/2025 03:27:58 AM,Illegal Burning,INFORMATION ONLY,25075512,"310 GARFIELD ST, EUG",5,,03/24/2025
,03/24/2025 03:10:36 AM,03/24/2025 03:24:20 AM,Dispute,UNABLE TO LOCATE,25075509,"E 14TH ALY/FERRY ST, EUG",4,,03/24/2025
,03/24/2025 02:53:43 AM,03/24/2025 02:53:44 AM,Traffic Stop,WARNING,25075503,"W 6TH AVE/MONROE ST, EUG",6,,03/24/2025
,03/24/2025 01:58:48 AM,03/24/2025 03:36:37 AM,Loud Noise,QUIET ON ARRIVAL,25075488,"630-BLK MADISON ST, EUG",5,,03/24/2025
,03/24/2025 01:31:42 AM,03/24/2025 01:34:58 AM,Dispute,WELFARE CHECK DONE,25075477,"1634 ARTHUR PL, EUG",3,,03/24/2025
,03/24/2025 01:15:53 AM,03/24/2025 01:58:32 AM,Prowler(s),PATROL CHECK,25075473,"3430 AVALON ST, EUG",4,,03/24/2025
,03/24/2025 01:15:45 AM,03/24/2025 01:44:27 AM,Criminal Trespass,GONE ON ARRIVAL,25075472,"1733 PEARL ST, EUG",4,,03/24/2025
,03/24/2025 12:22:49 AM,03/24/2025 01:51:13 AM,Criminal Trespass,RESOLVED,25075461,"222 E BROADWAY, EUG",3,,03/24/2025
,03/24/2025 12:22:33 AM,03/24/2025 12:24:16 AM,Prowler(s),PATROL CHECK,25075460,"2436 E IRWIN WAY, EUG",3,,03/24/2025
,03/24/2025 12:22:04 AM,03/24/2025 12:27:05 AM,Prowler(s),GONE ON ARRIVAL,25075459,"2055 W 24TH AVE, EUG",3,,03/24/2025
,03/24/2025 12:04:40 AM,03/24/2025 12:06:40 AM,Criminal Mischief,REPORT TAKEN,25075455,"2060 E IRWIN WAY, EUG",3,2504698,03/24/2025
,03/24/2025 12:03:33 AM,03/24/2025 12:05:49 AM,Traffic Hazard,RESOLVED,25075452,"E 7TH AVE/COBURG RD, EUG",3,,03/24/2025
,03/25/2025 11:59:05 PM,03/26/2025 12:30:38 AM,Criminal Trespass,GONE ON ARRIVAL,25077601,"2401 W 11TH AVE, EUG",3,,03/25/2025
,03/25/2025 11:51:37 PM,03/26/2025 12:05:06 AM,Dispute,REPORT TAKEN,25077596,"1121 COBURG RD, EUG",3,2504823,03/25/2025
,03/25/2025 11:28:33 PM,03/25/2025 11:30:32 PM,Burglary,PATROL CHECK,25077588,"886 W 6TH AVE, EUG",3,,03/25/2025
,03/25/2025 11:20:19 PM,03/25/2025 11:26:45 PM,Unknown Problem,WELFARE CHECK DONE,25077583,"3225 KINSROW AVE, EUG",3,,03/25/2025
,03/25/2025 11:08:32 PM,03/25/2025 11:09:43 PM,Fight,GONE ON ARRIVAL,25077579,"2200-BLK W 11TH AVE, EUG",P,,03/25/2025
,03/25/2025 11:02:50 PM,03/25/2025 11:05:26 PM,Suspicious Condition(s),ARREST,25077577,"135 N CLEVELAND ST, EUG",3,2504820,03/25/2025
,03/25/2025 10:49:21 PM,03/25/2025 10:49:22 PM,Traffic Stop,ADVISED,25077574,"COBURG RD/CHAD DR, EUG",6,,03/25/2025
,03/25/2025 10:25:53 PM,03/25/2025 10:42:45 PM,Illegal Burning,GONE ON ARRIVAL,25077559,"W 8TH ALY/WASHINGTON ST, EUG",5,,03/25/2025
,03/25/2025 10:11:12 PM,03/25/2025 10:14:44 PM,Dispute,WELFARE CHECK DONE,25077549,"2117 FRANKLIN BLVD, EUG",3,,03/25/2025
,03/25/2025 09:59:50 PM,03/25/2025 10:33:00 PM,Alarm,ARREST,25077540,"201 DIVISION AVE, EUG",3,2504819,03/25/2025
,03/25/2025 09:48:07 PM,03/25/2025 09:51:04 PM,Reckless Burning,ARREST,25077535,"AMAZON PKWY/HILYARD ST, EUG",9,2504818,03/25/2025
