yr,service,inci_id,calltime,case_id,callsource,nature,closecode,closed_as,secs_to_disp,secs_to_arrv,secs_to_close,disp,arrv,beat,priority,zip,primeunit,units_dispd,units_arrived,agency
2024,LAW ,24077597,2024-03-24 00:47:29,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,358,1,1,EP05,6,97402,5E29  ,1,1,EPD
2024,LAW ,24077601,2024-03-24 00:54:21,,PHONE,CRIMINAL TRESPASS,RSLV,RESOLVED,1006.0,1006.0,1336,1,1,EP02,3,97401,6E36  ,1,1,EPD
2024,LAW ,24077602,2024-03-24 00:54:27,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,611,1,1,EP05,6,97402,4E48  ,1,1,EPD
2024,LAW ,24077603,2024-03-24 00:56:06,,SELF,TRAFFIC STOP,WARN,WARNING,1.0,1.0,164,1,1,EP01,6,97408,5U55  ,1,1,EPD
2024,OTHR,24077605,2024-03-24 00:57:17,,PHONE,"TRANSPORT, CAHOOTS",ASST,ASSISTED,600.0,600.0,3679,1,1,EP02,5,97401,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077609,2024-03-24 00:59:59,,SELF,PERSON STOP,WARN,WARNING,0.0,0.0,214,1,1,EP05,6,97402,6E67  ,1,1,EPD
2024,LAW ,24077619,2024-03-24 01:04:27,2404280.0,E911,CRIMINAL TRESPASS,ARR ,ARREST,3250.0,3660.0,18854,1,1,EP06,3,97404,5U55  ,4,4,EPD
2024,LAW ,24077620,2024-03-24 01:06:54,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,480,1,1,EP02,6,97401,6E39  ,3,3,EPD
2024,LAW ,24077622,2024-03-24 01:14:37,2404279.0,SELF,FLAGGED DOWN,ARR ,ARREST,0.0,0.0,5519,1,1,EP02,6,97401,4F74  ,3,3,EPD
2024,LAW ,24077623,2024-03-24 01:21:00,,SELF,TRAFFIC STOP,SBCK,SOBRIETY CHECK,1.0,1.0,501,1,1,EP05,6,97402,6E67  ,1,1,EPD
2024,LAW ,24077627,2024-03-24 01:27:18,,SELF,TRAFFIC STOP,WARN,WARNING,1.0,1.0,416,1,1,EP02,6,97401,5T86  ,1,1,EPD
2024,LAW ,24077631,2024-03-24 01:33:27,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1605,1,1,EP05,6,97402,6E68  ,2,2,EPD
2024,LAW ,24077632,2024-03-24 01:37:39,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,448,1,1,EP05,6,97402,5E29  ,2,2,EPD
2024,LAW ,24077633,2024-03-24 01:46:36,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,450,1,1,EP02,6,97401,5T86  ,1,1,EPD
2024,LAW ,24077634,2024-03-24 01:47:47,,E911,RECKLESS DRIVING,UTL ,UNABLE TO LOCATE,220.0,,490,1,0,EP06,3,97404,4T88  ,1,1,EPD
2024,LAW ,24077635,2024-03-24 01:47:56,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,2785,1,1,EP02,6,97401,6E36  ,3,3,EPD
2024,LAW ,24077637,2024-03-24 01:56:54,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,251,1,1,EP01,6,97401,5E29  ,1,1,EPD
2024,LAW ,24077638,2024-03-24 01:59:46,,SELF,TRAFFIC STOP,SBCK,SOBRIETY CHECK,0.0,0.0,1267,1,1,EP02,6,97401,5T86  ,3,3,EPD
2024,LAW ,24077644,2024-03-24 02:04:51,,PHONE,LOUD PARTY,PCHK,PATROL CHECK,411.0,602.0,1269,1,1,EP01,5,97408,5E26  ,2,2,EPD
2024,LAW ,24077645,2024-03-24 02:07:08,,SELF,TRAFFIC STOP,SBCK,SOBRIETY CHECK,0.0,0.0,528,1,1,EP02,6,97401,6E39  ,1,1,EPD
2024,LAW ,24077647,2024-03-24 02:10:42,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,998,1,1,EP05,6,97402,6E68  ,1,1,EPD
2024,OTHR,24077650,2024-03-24 02:24:27,,E911,"DISORDERLY SUBJECT, CAHOOTS",DIS ,DISREGARD,11524.0,12109.0,12130,1,1,EP04,5,97405,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077653,2024-03-24 02:31:16,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,442,1,1,EP02,6,97401,5T86  ,2,2,EPD
2024,LAW ,24077654,2024-03-24 02:34:56,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,606,1,1,EP01,6,97408,5E26  ,1,1,EPD
2024,LAW ,24077656,2024-03-24 02:43:01,,PHONE,ALARM,INFO,INFORMATION ONLY,,,61,0,0,EP05,P,97402,,0,0,EPD
2024,LAW ,24077657,2024-03-24 02:43:46,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1366,1,1,EP02,6,97401,6E39  ,2,2,EPD
2024,OTHR,24077658,2024-03-24 02:45:27,,E911,"DISORIENTED SUBJECT, CAHOOTS",ASST,ASSISTED,2381.0,2899.0,5705,1,1,EP06,5,97404,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077659,2024-03-24 02:48:18,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,970,1,1,EP02,6,97401,4F74  ,2,2,EPD
2024,LAW ,24077661,2024-03-24 02:49:20,2404281.0,PHONE,DISORDERLY SUBJECT,ARR ,ARREST,1293.0,1804.0,19084,1,1,EP04,3,97402,6E67  ,5,5,EPD
2024,LAW ,24077664,2024-03-24 02:51:37,,E911,CRIMINAL TRESPASS,GOA ,GONE ON ARRIVAL,10495.0,10495.0,10498,1,1,EP04,3,97405,6E68  ,1,1,EPD
2024,LAW ,24077665,2024-03-24 02:54:37,,W911,ACCIDENT BIKE,ASST,ASSISTED,280.0,280.0,583,1,1,EP05,1,97402,5E29  ,1,1,EPD
2024,LAW ,24077668,2024-03-24 03:01:38,,PHONE,CRIMINAL TRESPASS,ADVI,ADVISED,326.0,326.0,951,1,1,EP02,3,97401,5E26  ,3,3,EPD
2024,LAW ,24077671,2024-03-24 03:04:06,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,291,1,1,EP01,6,97408,5T86  ,1,1,EPD
2024,LAW ,24077673,2024-03-24 03:05:54,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,135,1,1,EP01,6,97401,6E36  ,1,1,EPD
2024,LAW ,24077675,2024-03-24 03:13:17,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,166,1,1,EP01,6,97401,6E36  ,1,1,EPD
2024,LAW ,24077677,2024-03-24 03:14:17,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,1.0,1.0,2297,1,1,EP01,6,97408,6X60  ,2,2,EPD
2024,LAW ,24077678,2024-03-24 03:18:47,,SELF,TRAFFIC STOP,WARN,WARNING,1.0,1.0,294,1,1,EP02,6,97401,6E36  ,1,1,EPD
2024,LAW ,24077679,2024-03-24 03:20:11,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,153,1,1,EP05,6,97402,5E28  ,1,1,EPD
2024,LAW ,24077686,2024-03-24 04:08:31,,SELF,TRAFFIC STOP,WARN,WARNING,0.0,0.0,411,1,1,EP02,6,97401,5E28  ,1,1,EPD
2024,LAW ,24077687,2024-03-24 04:08:39,,W911,DISPUTE,WELC,WELFARE CHECK DONE,649.0,1154.0,1642,1,1,EP01,3,97408,6E36  ,2,2,EPD
2024,LAW ,24077689,2024-03-24 04:11:16,,PHONE,CHECK WELFARE,DIS ,DISREGARD,,,638,0,0,EP05,3,97402,,0,0,EPD
2024,LAW ,24077690,2024-03-24 04:12:20,,W911,CRIMINAL TRESPASS,DIS ,DISREGARD,,,740,0,0,EP05,3,97402,,0,0,EPD
2024,LAW ,24077691,2024-03-24 04:14:21,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,211,1,1,EP06,6,97404,5E26  ,1,1,EPD
2024,OTHR,24077693,2024-03-24 04:20:44,,PHONE,"CHECK WELFARE, CAHOOTS",ASST,ASSISTED,57.0,401.0,1688,1,1,EP05,5,97402,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077696,2024-03-24 04:25:00,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,799.0,799.0,809,1,1,EP06,5,97404,6E68  ,1,1,EPD
2024,LAW ,24077697,2024-03-24 04:29:30,,W911,UNKNOWN PROBLEM,WELC,WELFARE CHECK DONE,830.0,1467.0,2540,1,1,EP04,3,97402,6E68  ,2,2,EPD
2024,LAW ,24077698,2024-03-24 04:30:28,,PHONE,LOUD NOISE,INFO,INFORMATION ONLY,,,142,0,0,EP06,5,97404,,0,0,EPD
2024,LAW ,24077703,2024-03-24 04:53:26,,SELF,TRAFFIC STOP,ADVI,ADVISED,0.0,0.0,155,1,1,EP01,6,97401,5E28  ,3,3,EPD
2024,LAW ,24077705,2024-03-24 05:00:38,,PHONE,CRIMINAL TRESPASS,GOA ,GONE ON ARRIVAL,899.0,899.0,903,1,1,EP05,3,97402,6E68  ,1,1,EPD
2024,LAW ,24077706,2024-03-24 05:17:14,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,1036,1,1,EP05,6,97402,6E68  ,1,1,EPD
2024,LAW ,24077709,2024-03-24 05:42:20,,SELF,TRAFFIC STOP,SBCK,SOBRIETY CHECK,0.0,0.0,100,1,1,EP04,6,97405,6E68  ,1,1,EPD
2024,LAW ,24077712,2024-03-24 05:52:18,,SELF,TRAFFIC STOP,FI  ,FIELD INVESTIGATION,0.0,0.0,430,1,1,EP05,6,97402,6E68  ,1,1,EPD
2024,LAW ,24077713,2024-03-24 05:55:11,2404282.0,PHONE,DISORDERLY SUBJECT,ARR ,ARREST,275.0,502.0,4405,1,1,EP05,3,97402,6E68  ,3,3,EPD
2024,OTHR,24077719,2024-03-24 07:10:49,,PHONE,"SUICIDAL SUBJECT, CAHOOTS",ASST,ASSISTED,399.0,973.0,3188,1,1,EP05,7,97402,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077720,2024-03-24 07:11:15,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,317,1,1,EP05,6,97402,2E52  ,1,1,EPD
2024,LAW ,24077722,2024-03-24 07:20:36,,PHONE,DISORDERLY MEDICAL TRANSPORT,DIS ,DISREGARD,,,2002,0,0,EP04,1,97405,,0,0,EPD
2024,LAW ,24077723,2024-03-24 07:21:00,,PHONE,DISORIENTED SUBJECT,LCSO,RELAYED TO LANE COUNTY SHERIFFS OFFICE,,,207,0,0,EP06,P,97404,,0,0,EPD
2024,LAW ,24077724,2024-03-24 07:22:13,2404283.0,SELF,PATROL CHECK,ARR ,ARREST,0.0,0.0,5954,1,1,EP05,6,97402,1E41  ,2,2,EPD
2024,LAW ,24077725,2024-03-24 07:23:54,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,347,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077726,2024-03-24 07:26:06,,PHONE,CHECK WELFARE,WELC,WELFARE CHECK DONE,131.0,514.0,1135,1,1,EP07,3,97401,1E14  ,2,2,EPD
2024,LAW ,24077728,2024-03-24 07:35:17,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,397,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077730,2024-03-24 07:42:33,,PHONE,WATER PROBLEM,REL ,REFERRED TO OTHER AGENCY,,,1498,0,0,EP05,3,97402,,0,0,EPD
2024,LAW ,24077732,2024-03-24 07:44:52,2404284.0,W911,DISPUTE,REPT,REPORT TAKEN,72.0,439.0,4346,1,1,EP05,3,97402,1E42  ,2,2,EPD
2024,LAW ,24077733,2024-03-24 07:44:52,,PHONE,CRIMINAL TRESPASS,RSLV,RESOLVED,402.0,737.0,1388,1,1,EP02,3,97401,1E13  ,2,2,EPD
2024,LAW ,24077734,2024-03-24 07:46:21,,PHONE,INFORMATION - POLICE,QOLN,QUALITY OF LIFE - NO DISPATCH,,,61,0,0,EP01,5,97401,,0,0,EPD
2024,LAW ,24077736,2024-03-24 07:53:24,,PHONE,CHECK WELFARE,DIS ,DISREGARD,,,122,0,0,EP02,P,97401,,0,0,EPD
2024,LAW ,24077738,2024-03-24 07:58:17,,PHONE,LOCATE MISSING PERSON,RSLV,RESOLVED,2546.0,2564.0,6365,1,1,EP06,3,97404,2E51  ,1,1,EPD
2024,LAW ,24077741,2024-03-24 08:02:33,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,527,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077747,2024-03-24 08:20:09,,PHONE,AUDIBLE ALARM,DIS ,DISREGARD,,,146,0,0,EP05,P,97402,,0,0,EPD
2024,OTHR,24077749,2024-03-24 08:22:40,,W911,"CHECK WELFARE, CAHOOTS",REFU,REFUSED SERVICES,109.0,621.0,1262,1,1,EP05,7,97402,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077751,2024-03-24 08:23:59,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,509,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077757,2024-03-24 08:42:23,,PHONE,AUDIBLE ALARM,INFO,INFORMATION ONLY,,,104,0,0,EP05,P,97402,,0,0,EPD
2024,OTHR,24077758,2024-03-24 08:42:52,,PHONE,"CHECK WELFARE, CAHOOTS",ASST,ASSISTED,193.0,515.0,2544,1,1,EP02,7,97401,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077759,2024-03-24 08:44:02,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,310,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077761,2024-03-24 08:50:10,2404289.0,W911,CRIMINAL TRESPASS,ARR ,ARREST,587.0,1497.0,9526,1,1,EP04,3,97405,2U21  ,3,2,EPD
2024,LAW ,24077764,2024-03-24 08:53:24,,SELF,FOLLOW UP,FUP ,FOLLOW UP INVESTIGATION,0.0,331.0,9526,1,1,EP02,6,97401,1E14  ,1,1,EPD
2024,LAW ,24077768,2024-03-24 08:58:18,,E911,DISPUTE,ADVI,ADVISED,16370.0,16896.0,18238,1,1,EP02,4,97401,3U34  ,2,2,EPD
2024,LAW ,24077773,2024-03-24 09:10:19,,PHONE,MOTOR VEH ACC NO INJURY,MVAN,MOTOR VEHICLE ACCIDENT - NO DISPATCH,,,487,0,0,EP03,1,97405,,0,0,EPD
2024,LAW ,24077774,2024-03-24 09:12:31,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,389,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077777,2024-03-24 09:10:42,2404285.0,RPTO,CRIMINAL MISCHIEF,REPT,REPORT TAKEN,,,0,0,0,EP02,P,97401,2W75  ,0,0,EPD
2024,LAW ,24077780,2024-03-24 09:16:20,,PHONE,CRIMINAL TRESPASS,ADVI,ADVISED,833.0,1030.0,1355,1,1,EP02,3,97401,2E26  ,2,2,EPD
2024,LAW ,24077783,2024-03-24 09:18:30,,PHONE,AUDIBLE ALARM,INFO,INFORMATION ONLY,,,64,0,0,EP05,P,97402,,0,0,EPD
2024,LAW ,24077785,2024-03-24 09:21:58,2404295.0,PHONE,BURGLARY,REPT,REPORT TAKEN,8634.0,10174.0,20497,1,1,EP01,5,97401,3W82  ,1,1,EPD
2024,LAW ,24077786,2024-03-24 09:21:32,2404286.0,RPTO,LOST PROPERTY,REPT,REPORT TAKEN,,,0,0,0,EP01,P,97401,2W75  ,0,0,EPD
2024,LAW ,24077789,2024-03-24 09:27:02,2404291.0,E911,DISPUTE,REPT,REPORT TAKEN,239.0,385.0,11991,1,1,EP04,3,97405,1E42  ,7,7,EPD
2024,OTHR,24077790,2024-03-24 09:29:20,,W911,"PUBLIC ASSIST, CAHOOTS",ASST,ASSISTED,272.0,3563.0,4827,1,1,EP07,7,97401,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077791,2024-03-24 09:29:07,2404287.0,RPTO,SHOPLIFT,REPT,REPORT TAKEN,,,0,0,0,EP01,P,97408,2W75  ,0,0,EPD
2024,LAW ,24077797,2024-03-24 09:37:31,,PHONE,ANIMAL ATTACK/BITE,WARN,WARNING,,,6,0,0,EP06,1,97404,,0,0,EPD
2024,OTHR,24077798,2024-03-24 09:37:52,,PHONE,"CHECK WELFARE, CAHOOTS",ASST,ASSISTED,399.0,796.0,1060,1,1,EP02,7,97401,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077799,2024-03-24 09:39:04,,SELF,PATROL CHECK,PCHK,PATROL CHECK,0.0,0.0,505,1,1,EP05,6,97402,2X21  ,1,1,EPD
2024,LAW ,24077800,2024-03-24 09:39:47,,PHONE,DISORDERLY SUBJECT,INFO,INFORMATION ONLY,7547.0,,7550,1,0,EP05,3,97404,3E63  ,1,1,EPD
2024,LAW ,24077802,2024-03-24 09:43:32,2404288.0,RPTO,THEFT OF BICYCLE,REPT,REPORT TAKEN,,,0,0,0,EP01,P,97408,2W75  ,0,0,EPD
2024,LAW ,24077804,2024-03-24 09:48:13,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,799,1,1,EP01,6,97401,2E26  ,1,1,EPD
2024,LAW ,24077806,2024-03-24 09:53:31,,W911,RECKLESS DRIVING,REL ,REFERRED TO OTHER AGENCY,,,2645,0,0,EP01,3,97408,,0,0,EPD
2024,LAW ,24077808,2024-03-24 09:55:53,,W911,DISPUTE,WCB ,CALLER WILL CALL BACK,6839.0,7472.0,8130,1,1,EP03,3,97403,3U34  ,2,2,EPD
2024,LAW ,24077809,2024-03-24 09:58:16,,PHONE,SUSPICIOUS CONDITIONS,UNFD,UNFOUNDED,8671.0,8671.0,8676,1,1,EP06,3,97404,3E63  ,1,1,EPD
2024,LAW ,24077811,2024-03-24 09:59:33,,W911,DISPUTE,ASST,ASSISTED,12207.0,12220.0,13128,1,1,EP05,3,97402,1E42  ,2,2,EPD
2024,OTHR,24077812,2024-03-24 10:03:22,,PHONE,"CHECK WELFARE, CAHOOTS",UTL ,UNABLE TO LOCATE,3803.0,3807.0,5038,1,1,EP06,7,97404,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077813,2024-03-24 10:04:11,,PHONE,CHECK WELFARE,REL ,REFERRED TO OTHER AGENCY,,,2805,0,0,EP06,3,97404,,0,0,EPD
2024,LAW ,24077814,2024-03-24 10:05:31,,PHONE,HARASSMENT,INFO,INFORMATION ONLY,,,576,0,0,EP03,P,97403,,0,0,EPD
2024,LAW ,24077815,2024-03-24 10:05:47,,W911,LOCATE MISSING PERSON,DIS ,DISREGARD,,,4858,0,0,EP06,3,97404,,0,0,EPD
2024,OTHR,24077816,2024-03-24 10:06:54,,PHONE,"CHECK WELFARE, CAHOOTS",UTL ,UNABLE TO LOCATE,2586.0,3134.0,3582,1,1,EP06,7,97404,CAHOOT,1,1,CAHOOTS
2024,OTHR,24077831,2024-03-24 10:30:20,,PHONE,"PUBLIC ASSIST, CAHOOTS",DIS ,DISREGARD,26806.0,,27345,1,0,EP01,7,97401,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077833,2024-03-24 10:30:56,2404290.0,RPTO,THEFT FROM VEHICLE,REPT,REPORT TAKEN,,,0,0,0,EP07,P,97401,2W75  ,0,0,EPD
2024,LAW ,24077834,2024-03-24 10:33:02,,PHONE,LOUD NOISE,INFO,INFORMATION ONLY,,,317,0,0,EP05,P,97402,,0,0,EPD
2024,LAW ,24077837,2024-03-24 10:43:42,,PHONE,FRAUD,ADVI,ADVISED,,,111,0,0,EP07,P,97401,,0,0,EPD
2024,LAW ,24077838,2024-03-24 10:45:17,,W911,UNKNOWN PROBLEM,DIS ,DISREGARD,,,614,0,0,EP01,3,97401,,0,0,EPD
2024,LAW ,24077840,2024-03-24 10:50:01,,PHONE,TRASH BIN FIRE,DIS ,DISREGARD,,,1281,0,0,EP01,P,97401,,0,0,EPD
2024,LAW ,24077845,2024-03-24 10:52:56,,W911,MOTOR VEH ACC UNKNOWN INJ,ASST,ASSISTED,123.0,619.0,4472,1,1,EP05,1,97402,2E51  ,2,2,EPD
2024,LAW ,24077850,2024-03-24 10:55:53,,PHONE,CRIMINAL TRESPASS,RSLV,RESOLVED,882.0,1353.0,2376,1,1,EP05,3,97402,2Y22  ,1,1,EPD
2024,OTHR,24077852,2024-03-24 10:58:27,,W911,"INFO / ATL, CAHOOTS",INFO,INFORMATION ONLY,,,1729,0,0,EP06,7,97404,CAHOOT,0,0,CAHOOTS
2024,OTHR,24077857,2024-03-24 11:06:37,,W911,"CHECK WELFARE, CAHOOTS",REFU,REFUSED SERVICES,1248.0,1675.0,3287,1,1,EP01,7,97401,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077858,2024-03-24 11:10:52,,E911,BEAT INFORMATION,INFO,INFORMATION ONLY,2241.0,,2244,1,0,EP02,5,97401,1E13  ,1,1,EPD
2024,LAW ,24077859,2024-03-24 11:10:56,,PHONE,RUNAWAY JUVENILE,ACC ,ACCIDENTALLY CHOSE NEW EVENT,,,87,0,0,EP05,P,97402,,0,0,EPD
2024,LAW ,24077860,2024-03-24 11:13:43,,PHONE,CRIMINAL TRESPASS,GOA ,GONE ON ARRIVAL,3681.0,4103.0,5183,1,1,EP05,3,97402,2E52  ,2,1,EPD
2024,LAW ,24077862,2024-03-24 11:18:37,2404297.0,PHONE,DISPUTE,REPT,REPORT TAKEN,2653.0,3193.0,11556,1,1,EP01,3,97401,1E14  ,2,2,EPD
2024,LAW ,24077865,2024-03-24 11:21:11,,PHONE,INJURED ANIMAL,ADVI,ADVISED,3055.0,3429.0,4419,1,1,EP01,3,97401,3U34  ,2,2,EPD
2024,LAW ,24077867,2024-03-24 11:21:59,,PHONE,ILLEGAL BURNING,PDIS,DISREGARDED BY PATROL SUPERVISOR,,,7719,0,0,EP03,4,97405,,0,0,EPD
2024,LAW ,24077870,2024-03-24 11:24:59,2404296.0,E911,ASSIST OUTSIDE AGENCY,ARR ,ARREST,2025.0,5700.0,66973,1,1,EP01,3,97401,2Y19  ,20,20,EPD
2024,LAW ,24077872,2024-03-24 11:28:43,2404292.0,PHONE,ASSAULT,REPT,REPORT TAKEN,17.0,3080.0,5051,1,1,EP04,P,97402,2U21  ,1,1,EPD
2024,LAW ,24077874,2024-03-24 11:33:26,,PHONE,HIT AND RUN,ADVI,ADVISED,37228.0,,39023,1,0,EP01,4,97408,5E22  ,1,1,EPD
2024,LAW ,24077877,2024-03-24 11:36:22,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,761.0,,764,1,0,EP02,5,97401,1E14  ,1,1,EPD
2024,OTHR,24077878,2024-03-24 11:37:14,,W911,"ASSIST PD, CAHOOTS",UTL ,UNABLE TO LOCATE,1472.0,2173.0,3146,1,1,EP05,7,97402,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077880,2024-03-24 11:42:09,,PHONE,THEFT FROM VEHICLE,ACC ,ACCIDENTALLY CHOSE NEW EVENT,,,120,0,0,EP04,P,97402,,0,0,EPD
2024,LAW ,24077881,2024-03-24 11:47:59,2404293.0,RPTO,SHOPLIFT,REPT,REPORT TAKEN,,,0,0,0,EP06,P,97404,2W75  ,0,0,EPD
2024,LAW ,24077882,2024-03-24 11:50:31,,PHONE,HARASSMENT,UTL ,UNABLE TO LOCATE,6714.0,6979.0,10683,1,1,EP04,4,97402,2E51  ,1,1,EPD
2024,LAW ,24077883,2024-03-24 11:50:35,,PHONE,BEAT INFORMATION,INFO,INFORMATION ONLY,5077.0,,5079,1,0,EP02,5,97401,3E32  ,1,1,EPD
2024,LAW ,24077891,2024-03-24 12:00:52,,SELF,TRAFFIC STOP,UTC ,UNIFORM TRAFFIC CITATION ISSUED,0.0,0.0,767,1,1,EP01,6,97408,1X11  ,1,1,EPD
2024,LAW ,24077892,2024-03-24 12:03:12,,PHONE,HARASSMENT,WCB ,CALLER WILL CALL BACK,,,42554,0,0,EP03,4,97403,,0,0,EPD
2024,OTHR,24077893,2024-03-24 12:04:27,,W911,"PUBLIC ASSIST, CAHOOTS",REL ,REFERRED TO OTHER AGENCY,,,5224,0,0,EP04,7,97405,CAHOOT,0,0,CAHOOTS
2024,OTHR,24077895,2024-03-24 12:07:32,,PHONE,"INFO / ATL, CAHOOTS",INFO,INFORMATION ONLY,1335.0,,1337,1,0,EP03,7,97405,CAHOOT,1,1,CAHOOTS
2024,LAW ,24077898,2024-03-24 12:12:29,,PHONE,CRIMINAL TRESPASS,DIS ,DISREGARD,,,81,0,0,EP02,3,97401,,0,0,EPD
2024,LAW ,24077899,2024-03-24 12:14:10,,PHONE,DISPUTE,ASST,ASSISTED,3175.0,3616.0,6718,1,1,EP05,3,97402,2E52  ,2,2,EPD
2024,LAW ,24077904,2024-03-24 12:19:20,,W911,DISPUTE,INFO,INFORMATION ONLY,1026.0,1905.0,6409,1,1,EP04,3,97402,3E62  ,2,2,EPD
2024,LAW ,24077906,2024-03-24 12:21:20,,PHONE,DISORDERLY SUBJECT,ADVI,ADVISED,214.0,460.0,980,1,1,EP05,3,97402,1E41  ,4,4,EPD
