Event Number,Agency,Dispatch Time,Area,Location,City,Description,Date
24077770,MTRO,09:04:40,5WLS,MIDDLE FORK PATH/MP00 75,SPR,MEDICAL RESPONSE,2024-03-24
24077776,MTRO,09:15:11,4EUG,323 E 12TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077779,MTRO,09:18:39,4EUG,600 WATERFORD WAY,EUG,MEDICAL RESPONSE,2024-03-24
24077784,RFD,09:23:57,8LFA,29398 RECOVERY WAY,JUN,MEDICAL RESPONSE,2024-03-24
24077787,RFD,09:26:49,4EUG,1200-BLK CHARNELTON ST,EUG,ASSIST CAHOOTS,2024-03-24
24077792,RFD,09:32:12,6SOL,735 S 2ND ST,CRE,MEDICAL RESPONSE,2024-03-24
24077796,MTRO,09:37:16,4EUG,1845 MANIHI DR,EUG,MEDICAL RESPONSE,2024-03-24
24077801,MTRO,09:41:42,5SPR,465 MILL ST,SPR,MEDICAL RESPONSE,2024-03-24
24077820,RFD,10:17:19,8JCF,750 W 10TH AVE,JUN,MEDICAL RESPONSE,2024-03-24
24077821,MTRO,10:19:04,4EUG,1542 W 1ST AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077824,MTRO,10:22:19,4EUG,2440 WILLAKENZIE RD,EUG,MEDICAL RESPONSE,2024-03-24
24077826,RFD,10:26:23,8JCF,28100 FERGUSON RD,JUN,MEDICAL RESPONSE,2024-03-24
24077827,MTRO,10:27:24,4EUG,389 W 29TH AVE,EUG,FIRE ALARM,2024-03-24
24077832,MTRO,10:32:37,4EUG,457 W 8TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077839,MTRO,10:50:28,4EUG,175-BLK S GARDEN WAY,EUG,TRASH BIN FIRE,2024-03-24
24077841,MTRO,10:52:11,4EUG,450 HWY 99N,EUG,MEDICAL RESPONSE,2024-03-24
24077843,MTRO,10:55:33,8EUG,HWY 99N/PRAIRIE RD,EUG,MOTOR VEH ACC UNKNOWN INJ,2024-03-24
24077848,MTRO,10:56:56,4EUG,5175 TREVON ST,EUG,MEDICAL RESPONSE,2024-03-24
24077854,MTRO,11:04:28,4EUG,30 E 33RD AVE,EUG,FIRE ALARM,2024-03-24
24077861,MTRO,11:17:16,5SPR,650 Q ST,SPR,MEDICAL RESPONSE,2024-03-24
24077869,MTRO,11:26:35,5SPR,3627 S E ST,SPR,MEDICAL RESPONSE,2024-03-24
24077871,MTRO,11:28:35,5SPR,113 16TH ST,SPR,MEDICAL RESPONSE,2024-03-24
24077879,MTRO,11:42:47,5SPR,3752 INTERNATIONAL CT,SPR,MEDICAL RESPONSE,2024-03-24
24077885,RFD,11:55:27,8LFA,25078 COTTAGE CT,VEN,MEDICAL RESPONSE,2024-03-24
24077889,MTRO,12:00:25,4EUG,1060 VALLEY RIVER WAY,EUG,MEDICAL RESPONSE,2024-03-24
24077890,RFD,12:01:14,4LFU,739 BEACON DR,EUG,MEDICAL RESPONSE,2024-03-24
24077897,MTRO,12:11:24,4EUG,2988 OAK ST,EUG,MEDICAL RESPONSE,2024-03-24
24077901,MTRO,12:18:12,4X,90064 COBURG RD,EUG,MEDICAL RESPONSE,2024-03-24
24077902,MTRO,12:19:37,4EUG,1356 WASHINGTON ST,EUG,FLUE FIRE,2024-03-24
24077909,MTRO,12:30:56,5SPR,913 54TH ST,SPR,MEDICAL RESPONSE,2024-03-24
24077921,RFD,12:43:36,5LWF,26 E 3RD ST,LOW,MEDICAL RESPONSE,2024-03-24
24077924,MTRO,12:43:36,5LWF,26 E 3RD ST,LOW,MEDICAL RESPONSE,2024-03-24
24077930,RFD,12:52:45,5MKF,38401 KICKBUSCH LN,SPR,MEDICAL RESPONSE,2024-03-24
24077933,MTRO,12:52:46,5MKF,38401 KICKBUSCH LN,SPR,MEDICAL RESPONSE,2024-03-24
24077938,RFD,12:57:26,4EUG,871 W 8TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077936,MTRO,12:57:28,4EUG,871 W 8TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24077947,RFD,13:07:29,5HAF,32917 DIAMOND HILL DR,HAR,MEDICAL RESPONSE,2024-03-24
24077949,MTRO,13:07:30,5HAF,32917 DIAMOND HILL DR,HAR,MEDICAL RESPONSE,2024-03-24
24077972,RFD,13:46:23,8JCF,30091 LASSEN LN,JUN,MEDICAL RESPONSE,2024-03-24
24077978,MTRO,13:52:11,4EUG,1080 VALLEY RIVER WAY,EUG,MEDICAL RESPONSE,2024-03-24
24077995,MTRO,14:18:05,5SPR,525 S 57TH PL,SPR,MEDICAL RESPONSE,2024-03-24
24078008,MTRO,14:49:35,4EUG,605 W 4TH AVE,EUG,ASSIST CAHOOTS,2024-03-24
24078013,MTRO,14:59:37,4EUG,437 TOKATEE DR,EUG,MEDICAL RESPONSE,2024-03-24
24078019,RFD,15:10:57,6SOL,1774 HARVEY RD,COT,MEDICAL RESPONSE,2024-03-24
24078021,MTRO,15:14:58,5SPR,2211 LAURA ST,SPR,MEDICAL RESPONSE,2024-03-24
24078026,RFD,15:22:13,5MVF,90455 SHADOWS DR,SPR,MEDICAL RESPONSE,2024-03-24
24078028,MTRO,15:22:14,5MVF,90455 SHADOWS DR,SPR,MEDICAL RESPONSE,2024-03-24
24078037,MTRO,15:33:13,4CBF,91232 N COBURG RD,COB,ASSIST POLICE,2024-03-24
24078033,RFD,15:35:00,4CBF,91232 N COBURG RD,COB,ASSIST POLICE,2024-03-24
24078041,MTRO,15:42:09,4EUG,350 PEARL ST,EUG,MEDICAL RESPONSE,2024-03-24
24078047,MTRO,15:50:05,5HAF,POWERLINE RD/DALE DR,HAR,ASSIST POLICE,2024-03-24
24078060,MTRO,16:18:59,5SPR,5705 DAISY ST,SPR,MEDICAL RESPONSE,2024-03-24
24078062,MTRO,16:20:20,4EUG,511 PROXY LN,EUG,MEDICAL RESPONSE,2024-03-24
24078066,RFD,16:25:54,8HAF,440 SMITH ST,HAR,MEDICAL RESPONSE,2024-03-24
24078083,MTRO,16:58:35,5WLS,944 FILBERT LN,SPR,MEDICAL RESPONSE,2024-03-24
24078086,MTRO,17:02:04,5SPR,2525 OLYMPIC ST,SPR,ASSIST POLICE,2024-03-24
24078092,MTRO,17:12:52,4EUG,1166 E 28TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24078096,MTRO,17:15:47,4EUG,W 6TH AVE/TAYLOR ST,EUG,MEDICAL RESPONSE,2024-03-24
24078095,MTRO,17:17:40,5RAB,2505 HARVEST LN,SPR,MEDICAL RESPONSE,2024-03-24
24078106,RFD,17:33:50,5PGP,BOB STRAUB PKWY/JASPER RD,SPR,ODOR INVESTIGATION,2024-03-24
24078107,MTRO,17:36:09,4EUG,2930 SUMMIT SKY BLVD,EUG,MEDICAL RESPONSE,2024-03-24
24078119,RFD,17:51:54,6SOL,1515 VILLAGE DR,COT,MEDICAL RESPONSE,2024-03-24
24078126,MTRO,17:57:23,4EUG,1752 W 34TH PL,EUG,MEDICAL RESPONSE,2024-03-24
24078127,RFD,17:57:57,8JCF,530 BIRCH ST,JUN,MEDICAL RESPONSE,2024-03-24
24078137,MTRO,18:03:47,4EUG,1665 OAK PATCH RD,EUG,MEDICAL RESPONSE,2024-03-24
24078099,RFD,18:10:19,8JCF,93676 DORSEY LN,JUN,ASSIST POLICE,2024-03-24
24078122,MTRO,18:11:36,4EUG,111 MONROE ST,EUG,ASSAULT WITH INJURY,2024-03-24
24078122,MTRO,18:11:36,4EUG,111 MONROE ST,EUG,MEDICAL RESPONSE,2024-03-24
24078145,MTRO,18:13:45,4EUG,911-1/2 W 1ST AVE,EUG,MEDICAL RESPONSE,2024-03-24
24078149,MTRO,18:20:15,4EUG,1699-BLK HAVITURE WAY,EUG,MEDICAL RESPONSE,2024-03-24
24078151,MTRO,18:22:31,5SPR,250 F ST,SPR,APPLIANCE FIRE,2024-03-24
24078159,RFD,18:36:05,6SOL,77500 S 6TH ST,COT,MEDICAL RESPONSE,2024-03-24
24078171,MTRO,19:03:56,4EUG,W 11TH AVE/LAWRENCE ST,EUG,OUTSIDE GAS LEAK,2024-03-24
24078174,MTRO,19:04:41,4EUG,585 BETTY NIVEN DR,EUG,PUBLIC ASSIST- FIRE/EMS,2024-03-24
24078177,MTRO,19:09:23,5SPR,4865 MAIN ST,SPR,MEDICAL RESPONSE,2024-03-24
24078185,RFD,19:21:21,6SOL,33678 MARKET RD,CRE,MEDICAL RESPONSE,2024-03-24
24078188,MTRO,19:23:36,4EUG,753 SPYGLASS DR,EUG,MEDICAL RESPONSE,2024-03-24
24078189,MTRO,19:27:18,4EUG,930 WESTSPRINGS DR,EUG,FIRE ALARM,2024-03-24
24078195,MTRO,19:34:50,5SPR,4865 MAIN ST,SPR,MEDICAL RESPONSE,2024-03-24
24078199,MTRO,19:42:05,4EUG,4725 BARGER DR,EUG,MEDICAL RESPONSE,2024-03-24
24078204,RFD,19:48:46,8JCF,94833 OAKLEA DR,JUN,MEDICAL RESPONSE,2024-03-24
24078209,RFD,20:01:39,5PGG,34952 HWY 58,EUG,MEDICAL RESPONSE,2024-03-24
24078210,MTRO,20:01:39,5PGG,34952 HWY 58,EUG,MEDICAL RESPONSE,2024-03-24
24078216,MTRO,20:13:31,5SPR,470 23RD ST,SPR,MEDICAL RESPONSE,2024-03-24
24078227,RFD,20:25:25,6SOL,1515 VILLAGE DR,COT,MEDICAL RESPONSE,2024-03-24
24078226,RFD,20:26:22,5CBF,32668 E LOCUST ST,COB,MEDICAL RESPONSE,2024-03-24
24078228,MTRO,20:26:23,5CBF,32668 E LOCUST ST,COB,MEDICAL RESPONSE,2024-03-24
24078230,MTRO,20:32:12,4EUG,750 WOODLEAF LN,EUG,MEDICAL RESPONSE,2024-03-24
24078240,MTRO,20:57:35,5SPR,770 HARLOW RD,SPR,MEDICAL RESPONSE,2024-03-24
24078242,MTRO,21:01:47,4EUG,MARSHALL AVE/TAFT ST,EUG,MEDICAL RESPONSE,2024-03-24
24078253,MTRO,21:19:59,4EUG,W 8TH ALY/OLIVE ST,EUG,MEDICAL RESPONSE,2024-03-24
24078261,RFD,21:30:21,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-24
24078264,MTRO,21:36:34,4EUG,600 WATERFORD WAY,EUG,MEDICAL RESPONSE,2024-03-24
24078274,MTRO,21:54:11,5GLW,4215 FRANKLIN BLVD,EUG,MEDICAL RESPONSE,2024-03-24
24078280,RFD,22:05:57,8LCF,93424 JAY RD,BLA,MEDICAL RESPONSE,2024-03-24
24078285,MTRO,22:16:40,5SPR,1464 OLYMPIC ST,SPR,MEDICAL RESPONSE,2024-03-24
24078290,MTRO,22:26:53,4EUG,3500 HILYARD ST,EUG,MEDICAL RESPONSE,2024-03-24
24078296,MTRO,22:40:52,8EUG,MAXWELL RD/PRAIRIE RD,EUG,ACCIDENT BIKE,2024-03-24
24078298,MTRO,22:47:14,5SPR,2211 CLEAR VUE LN,SPR,MEDICAL RESPONSE,2024-03-24
24078305,RFD,22:58:56,6SOL,2000 N DOUGLAS ST,COT,MEDICAL RESPONSE,2024-03-24
24078304,MTRO,23:05:01,4EUG,101 W 5TH AVE,EUG,MEDICAL RESPONSE,2024-03-24
24078311,MTRO,23:09:22,4EUG,300 FREDERICK CT,EUG,MEDICAL RESPONSE,2024-03-24
24078318,RFD,23:20:43,4LFU,188 LYNNBROOK DR,EUG,MEDICAL RESPONSE,2024-03-24
24078321,MTRO,23:20:44,4LFU,188 LYNNBROOK DR,EUG,MEDICAL RESPONSE,2024-03-24
24078319,MTRO,23:22:01,5SPR,725 28TH ST,SPR,MEDICAL RESPONSE,2024-03-24
24078317,RFD,23:24:03,6SOL,1515 VILLAGE DR,COT,MEDICAL RESPONSE,2024-03-24
24078327,MTRO,23:45:55,5SPR,1396 MAIN ST,SPR,MEDICAL RESPONSE,2024-03-24
24078332,MTRO,00:00:55,5SPR,1187 LAWNRIDGE AVE,SPR,MEDICAL RESPONSE,2024-03-25
24078339,MTRO,00:20:43,4EUG,240 WASHINGTON ST,EUG,TRASH BIN FIRE,2024-03-25
24078346,MTRO,00:38:16,4EUG,1424 OAK PATCH RD,EUG,MEDICAL RESPONSE,2024-03-25
24078348,MTRO,00:40:55,4EUG,1545 CITY VIEW ST,EUG,MEDICAL RESPONSE,2024-03-25
24078352,RFD,00:52:59,6SOL,78203 MEADOW PARK DR,COT,MEDICAL RESPONSE,2024-03-25
24078354,MTRO,00:58:48,5SPR,2155 15TH ST,SPR,MEDICAL RESPONSE,2024-03-25
24078356,MTRO,01:09:21,4EUG,4800 BARGER DR,EUG,MEDICAL RESPONSE,2024-03-25
24078362,RFD,01:29:24,8EUG,1075 IRVINGTON DR,EUG,MEDICAL RESPONSE,2024-03-25
24078363,MTRO,01:34:42,4EUG,3824 PATTISON ST,EUG,MEDICAL RESPONSE,2024-03-25
24078365,MTRO,01:40:46,4EUG,1445 TAYLOR ST,EUG,MEDICAL RESPONSE,2024-03-25
24078368,MTRO,01:54:45,4EUG,2455 W 22ND AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078387,MTRO,03:11:55,4EUG,100 RIVER AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078389,RFD,03:31:20,8LFA,25098 E HUNTER RD,VEN,MEDICAL RESPONSE,2024-03-25
24078390,MTRO,03:35:56,5SPR,520 HARLOW RD,SPR,MEDICAL RESPONSE,2024-03-25
24078392,MTRO,03:45:34,4EUG,2615 LONE OAK WAY,EUG,MEDICAL RESPONSE,2024-03-25
24078400,RFD,04:23:34,8JCF,2402 W 9TH AVE,JUN,MEDICAL RESPONSE,2024-03-25
24078398,MTRO,04:36:13,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-25
24078407,RFD,04:42:52,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-25
24078415,RFD,05:22:51,8LFA,90982 MAIN ST,JUN,MEDICAL RESPONSE,2024-03-25
24078416,MTRO,05:22:51,8LFA,90982 MAIN ST,JUN,MEDICAL RESPONSE,2024-03-25
24078421,MTRO,05:38:58,4EUG,3500 HILYARD ST,EUG,MEDICAL RESPONSE,2024-03-25
24078425,MTRO,05:53:17,5RAB,2587 19TH ST,SPR,MEDICAL RESPONSE,2024-03-25
24078428,RFD,06:04:52,5MKF,37336 CAMP CREEK RD,SPR,MEDICAL RESPONSE,2024-03-25
24078430,MTRO,06:04:53,5MKF,37336 CAMP CREEK RD,SPR,MEDICAL RESPONSE,2024-03-25
24078433,MTRO,06:23:59,4EUG,3282 TIMBERLINE DR,EUG,MEDICAL RESPONSE,2024-03-25
24078434,RFD,06:25:06,5MKF,7080 THURSTON RD,SPR,MEDICAL RESPONSE,2024-03-25
24078436,MTRO,06:25:06,5MKF,7080 THURSTON RD,SPR,MEDICAL RESPONSE,2024-03-25
24078435,MTRO,06:25:58,5RAB,1443 SEQUOIA AVE,SPR,MEDICAL RESPONSE,2024-03-25
24078463,RFD,07:39:09,8JCF,1750 MAGNOLIA ST,JUN,MEDICAL RESPONSE,2024-03-25
24078476,MTRO,07:45:43,4LFU,190 FERNDALE DR,EUG,MEDICAL RESPONSE,2024-03-25
24078481,MTRO,07:56:53,4EUG,1767 HEATH DR,EUG,MEDICAL RESPONSE,2024-03-25
24078490,MTRO,08:03:30,5SPR,3635 CHEROKEE DR,SPR,MEDICAL RESPONSE,2024-03-25
24078493,RFD,08:06:51,8AIR,90454 BOEING DR,EUG,MEDICAL RESPONSE,2024-03-25
24078492,MTRO,08:07:31,4EUG,1065 E 28TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078497,RFD,08:16:58,5MKF,MCKENZIE HWY/MP16,SPR,FLUE FIRE,2024-03-25
24078498,MTRO,08:16:59,5MKF,MCKENZIE HWY/MP16,SPR,FLUE FIRE,2024-03-25
24078503,RFD,08:27:34,5PGP,85026 HUSS RD,PLE,MEDICAL RESPONSE,2024-03-25
24078504,MTRO,08:27:34,5PGP,85026 HUSS RD,PLE,MEDICAL RESPONSE,2024-03-25
24078510,MTRO,08:36:42,5RAB,2534 37TH ST,SPR,"GAS LEAK, STRUCTURE",2024-03-25
24078518,MTRO,08:41:13,4EUG,605 W 4TH AVE,EUG,VEHICLE FIRE,2024-03-25
24078516,MTRO,08:41:59,4EUG,2739 JEPPESEN ACRES RD,EUG,MEDICAL RESPONSE,2024-03-25
24078520,RFD,08:44:49,8LFA,88065 7TH ST,VEN,MEDICAL RESPONSE,2024-03-25
24078533,RFD,09:00:51,8LFA,27366 4TH ST,JUN,MEDICAL RESPONSE,2024-03-25
24078537,MTRO,09:04:02,4EUG,66 E 6TH AVE,EUG,FIRE ALARM,2024-03-25
24078540,MTRO,09:10:50,5SPR,2390 LOCH DR,SPR,MEDICAL RESPONSE,2024-03-25
24078545,MTRO,09:14:14,4EUG,382 NURSERY CT,EUG,MEDICAL RESPONSE,2024-03-25
24078550,MTRO,09:22:59,4EUG,1665 OAK PATCH RD,EUG,MEDICAL RESPONSE,2024-03-25
24078553,RFD,09:30:47,8LFA,25035 W BROADWAY AVE,VEN,MEDICAL RESPONSE,2024-03-25
24078561,MTRO,09:38:21,4EUG,2951 COBURG RD,EUG,MEDICAL RESPONSE,2024-03-25
24078575,MTRO,09:58:08,4EUG,1190 TAFT ST,EUG,ASSIST POLICE,2024-03-25
24078577,MTRO,10:02:19,4EUG,2940 CRESCENT AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078583,MTRO,10:07:46,5SPR,495 FAIRVIEW DR,SPR,MEDICAL RESPONSE,2024-03-25
24078586,MTRO,10:13:37,5SPR,565 HARLOW RD,SPR,MEDICAL RESPONSE,2024-03-25
24078592,MTRO,10:19:01,4EUG,400 E 19TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078603,MTRO,10:36:15,4EUG,314 VAN DUYN ST,EUG,MEDICAL RESPONSE,2024-03-25
24078602,MTRO,10:36:56,5SPR,1120 FAIRVIEW DR,SPR,MEDICAL RESPONSE,2024-03-25
24078620,MTRO,10:51:44,4EUG,323 E 12TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078619,MTRO,10:52:34,4EUG,3328 HAWTHORNE AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078629,MTRO,11:05:09,5SPR,2793 S CLOVERLEAF LP,SPR,MEDICAL RESPONSE,2024-03-25
24078627,MTRO,11:06:12,5SPR,475 LINDALE DR,SPR,MEDICAL RESPONSE,2024-03-25
24078653,MTRO,11:36:21,4EUG,2170 W 16TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078655,MTRO,11:41:01,4EUG,3753 WESTLEIGH ST,EUG,MEDICAL RESPONSE,2024-03-25
24078664,MTRO,11:52:55,4EUG,605 W 4TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078684,MTRO,12:18:07,4EUG,2085 CHURCHILL ST,EUG,MEDICAL RESPONSE,2024-03-25
24078689,MTRO,12:29:40,4EUG,1333 OAK PATCH RD,EUG,MEDICAL RESPONSE,2024-03-25
24078692,MTRO,12:31:41,5SPR,5781 MAIN ST,SPR,MEDICAL RESPONSE,2024-03-25
24078694,MTRO,12:32:31,4EUG,1015 RANDALL ST,EUG,MEDICAL RESPONSE,2024-03-25
24078696,MTRO,12:36:18,4EUG,3800 WESTLEIGH ST,EUG,MEDICAL RESPONSE,2024-03-25
24078697,MTRO,12:37:55,4EUG,1201 MCLEAN BLVD,EUG,MEDICAL RESPONSE,2024-03-25
24078699,MTRO,12:39:55,4EUG,650 SWEET GUM LN,EUG,MEDICAL RESPONSE,2024-03-25
24078708,MTRO,12:45:08,5SPR,1914 5TH ST,SPR,MEDICAL RESPONSE,2024-03-25
24078719,RFD,12:56:34,6SOL,34215 MEYER RD,COT,MEDICAL RESPONSE,2024-03-25
24078728,MTRO,13:10:06,5SPR,280 22ND ST,SPR,MEDICAL RESPONSE,2024-03-25
24078757,MTRO,13:47:27,4EUG,E 24TH AVE/AMAZON PKWY,EUG,MOTOR VEH ACC UNKNOWN INJ,2024-03-25
24078762,MTRO,13:52:05,5SPR,658 S 57TH ST,SPR,MEDICAL RESPONSE,2024-03-25
24078776,MTRO,14:05:02,4EUG,1200 HILYARD ST,EUG,MEDICAL RESPONSE,2024-03-25
24078781,MTRO,14:09:55,4EUG,E 24TH AVE/AMAZON PKWY,EUG,MOTOR VEH ACC UNKNOWN INJ,2024-03-25
24078788,RFD,14:15:18,6SOL,298 E OREGON AVE,CRE,MEDICAL RESPONSE,2024-03-25
24078789,MTRO,14:16:02,4EUG,3825 JANISSE ST,EUG,MEDICAL RESPONSE,2024-03-25
24078794,MTRO,14:20:11,4EUG,4055 ROYAL AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078805,MTRO,14:27:04,5SPR,2182 FIRESIDE CT,SPR,MEDICAL RESPONSE,2024-03-25
24078806,RFD,14:31:38,6SOL,78675 RAT CREEK RD,COT,MEDICAL RESPONSE,2024-03-25
24078815,MTRO,14:38:59,4EUG,1236 ELLSWORTH ST,EUG,MEDICAL RESPONSE,2024-03-25
24078821,MTRO,14:41:31,5SPR,744 7TH ST,SPR,ASSIST POLICE,2024-03-25
24078828,MTRO,14:53:35,4EUG,255 HIGH ST,EUG,MEDICAL RESPONSE,2024-03-25
24078832,MTRO,14:57:36,5SPR,1475 5TH ST,SPR,FIRE ALARM,2024-03-25
24078845,MTRO,15:13:31,4EUG,1775 W 12TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078854,MTRO,15:24:05,4EUG,550 PEARL ST,EUG,MEDICAL RESPONSE,2024-03-25
24078859,MTRO,15:28:34,4EUG,222 W 11TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078863,MTRO,15:35:45,4EUG,UNIVERSITY ST/E 13TH AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078864,MTRO,15:36:40,4EUG,1312 CITY VIEW ST,EUG,MEDICAL RESPONSE,2024-03-25
24078878,RFD,15:49:50,5PGG,FRANKLIN BLVD/E 30TH AVE,EUG,SUBJECT DOWN,2024-03-25
24078880,RFD,15:50:41,5MKF,48517 MCKENZIE HWY,VID,MEDICAL RESPONSE,2024-03-25
24078882,MTRO,15:50:42,5MKF,48517 MCKENZIE HWY,VID,MEDICAL RESPONSE,2024-03-25
24078883,MTRO,15:54:13,5SPR,812 W QUINALT ST,SPR,MEDICAL RESPONSE,2024-03-25
24078885,MTRO,15:55:47,4EUG,1201 MCLEAN BLVD,EUG,MEDICAL RESPONSE,2024-03-25
24078895,MTRO,16:07:53,4RIR,720 PARK AVE,EUG,MEDICAL RESPONSE,2024-03-25
24078897,MTRO,16:09:13,4EUG,2710 WILLAMETTE ST,EUG,MEDICAL RESPONSE,2024-03-25
24078900,MTRO,16:14:07,5SPR,1120 FAIRVIEW DR,SPR,MEDICAL RESPONSE,2024-03-25
24078924,RFD,16:46:50,8JCF,355 W 3RD AVE,JUN,MEDICAL RESPONSE,2024-03-25
24078929,MTRO,16:51:56,5SPR,344 A ST,SPR,ASSIST POLICE,2024-03-25
